counterfactual_id,failure_id,payment_id,subscription_id,customer_id,amount,failure_reason,account_age_days,successful_payments,failed_payments,total_payments,payment_success_rate,historical_recovery_rate,engagement_score,behavior_profile,candidate_action,action_cost,true_recovery_probability,expected_gross_recovery,expected_net_value
FAIL_000001__RETRY_NOW,FAIL_000001,PAY_000025,SUB_0004,CUST_0004,406.32,NETWORK_ERROR,744,20,4,24,0.833300,0.600000,0.600000,normal,RETRY_NOW,2.00,0.850046,345.39,343.39
FAIL_000001__WAIT_AND_RETRY,FAIL_000001,PAY_000025,SUB_0004,CUST_0004,406.32,NETWORK_ERROR,744,20,4,24,0.833300,0.600000,0.600000,normal,WAIT_AND_RETRY,2.00,0.811159,329.59,327.59
FAIL_000001__SEND_REMINDER,FAIL_000001,PAY_000025,SUB_0004,CUST_0004,406.32,NETWORK_ERROR,744,20,4,24,0.833300,0.600000,0.600000,normal,SEND_REMINDER,1.00,0.691245,280.87,279.87
FAIL_000001__PAYMENT_LINK,FAIL_000001,PAY_000025,SUB_0004,CUST_0004,406.32,NETWORK_ERROR,744,20,4,24,0.833300,0.600000,0.600000,normal,PAYMENT_LINK,3.00,0.803064,326.30,323.30
FAIL_000001__UPDATE_PAYMENT_METHOD,FAIL_000001,PAY_000025,SUB_0004,CUST_0004,406.32,NETWORK_ERROR,744,20,4,24,0.833300,0.600000,0.600000,normal,UPDATE_PAYMENT_METHOD,3.00,0.709149,288.14,285.14
FAIL_000002__RETRY_NOW,FAIL_000002,PAY_000029,SUB_0004,CUST_0004,406.32,INSUFFICIENT_FUNDS,744,20,4,24,0.833300,0.600000,0.600000,normal,RETRY_NOW,2.00,0.643314,261.39,259.39
FAIL_000002__WAIT_AND_RETRY,FAIL_000002,PAY_000029,SUB_0004,CUST_0004,406.32,INSUFFICIENT_FUNDS,744,20,4,24,0.833300,0.600000,0.600000,normal,WAIT_AND_RETRY,2.00,0.791280,321.51,319.51
FAIL_000002__SEND_REMINDER,FAIL_000002,PAY_000029,SUB_0004,CUST_0004,406.32,INSUFFICIENT_FUNDS,744,20,4,24,0.833300,0.600000,0.600000,normal,SEND_REMINDER,1.00,0.710782,288.80,287.80
FAIL_000002__PAYMENT_LINK,FAIL_000002,PAY_000029,SUB_0004,CUST_0004,406.32,INSUFFICIENT_FUNDS,744,20,4,24,0.833300,0.600000,0.600000,normal,PAYMENT_LINK,3.00,0.770755,313.17,310.17
FAIL_000002__UPDATE_PAYMENT_METHOD,FAIL_000002,PAY_000029,SUB_0004,CUST_0004,406.32,INSUFFICIENT_FUNDS,744,20,4,24,0.833300,0.600000,0.600000,normal,UPDATE_PAYMENT_METHOD,3.00,0.723799,294.09,291.09
