customer_id,account_age_days,successful_payments,failed_payments,total_payments,payment_success_rate,monthly_subscription_value,historical_recovery_rate,engagement_score,behavior_profile
CUST_0001,55,1,0,1,1.0,1503,0.8,0.85,reliable
CUST_0002,172,4,1,5,0.8,361,0.6,0.6,normal
CUST_0003,253,8,0,8,1.0,526,0.8,0.85,reliable
CUST_0004,744,20,4,24,0.8333,506,0.6,0.6,normal
CUST_0005,314,10,0,10,1.0,5005,0.82,0.9,high_value_loyal
CUST_0006,503,13,3,16,0.8125,1110,0.6,0.6,normal
CUST_0007,176,5,0,5,1.0,7780,0.82,0.9,high_value_loyal
CUST_0008,400,11,2,13,0.8462,7532,0.82,0.9,high_value_loyal
CUST_0009,726,23,1,24,0.9583,1827,0.8,0.85,reliable
CUST_0010,49,1,0,1,1.0,5973,0.82,0.9,high_value_loyal
CUST_0011,275,5,4,9,0.5556,1173,0.35,0.45,friction_prone
CUST_0012,199,5,1,6,0.8333,405,0.3,0.25,low_engagement
CUST_0013,438,12,2,14,0.8571,876,0.35,0.45,friction_prone
CUST_0014,556,17,1,18,0.9444,2149,0.8,0.85,reliable
CUST_0015,849,18,10,28,0.6429,1338,0.35,0.45,friction_prone
CUST_0016,188,6,0,6,1.0,3410,0.82,0.9,high_value_loyal
CUST_0017,518,14,3,17,0.8235,1157,0.3,0.25,low_engagement
CUST_0018,239,6,1,7,0.8571,348,0.35,0.45,friction_prone
CUST_0019,499,15,1,16,0.9375,2771,0.8,0.85,reliable
CUST_0020,984,23,9,32,0.7188,503,0.35,0.45,friction_prone
CUST_0021,160,3,2,5,0.6,5931,0.82,0.9,high_value_loyal
CUST_0022,728,15,9,24,0.625,755,0.6,0.6,normal
CUST_0023,866,22,6,28,0.7857,689,0.6,0.6,normal
CUST_0024,75,1,1,2,0.5,1302,0.35,0.45,friction_prone
CUST_0025,402,10,3,13,0.7692,1661,0.6,0.6,normal
CUST_0026,723,22,2,24,0.9167,9607,0.82,0.9,high_value_loyal
CUST_0027,180,6,0,6,1.0,1589,0.6,0.6,normal
CUST_0028,229,5,2,7,0.7143,1106,0.3,0.25,low_engagement
CUST_0029,827,24,3,27,0.8889,1479,0.8,0.85,reliable
CUST_0030,480,14,2,16,0.875,1396,0.35,0.45,friction_prone
CUST_0031,907,29,1,30,0.9667,1565,0.8,0.85,reliable
CUST_0032,365,11,1,12,0.9167,8325,0.82,0.9,high_value_loyal
