failure_id,payment_id,customer_id,subscription_id,amount,payment_date,failure_reason,failure_category,account_age_days,successful_payments,failed_payments,total_payments,payment_success_rate,historical_recovery_rate,engagement_score,behavior_profile,failure_ratio,payment_reliability,plan,monthly_subscription_value,billing_interval
FAIL_000001,PAY_000025,CUST_0004,SUB_0004,406.32,2025-06-12,NETWORK_ERROR,TECHNICAL,744,20,4,24,0.8333,0.6,0.6,normal,0.1667,0.8333,starter,406.32,monthly
FAIL_000002,PAY_000029,CUST_0004,SUB_0004,406.32,2025-10-10,INSUFFICIENT_FUNDS,CUSTOMER_FINANCIAL,744,20,4,24,0.8333,0.6,0.6,normal,0.1667,0.8333,starter,406.32,monthly
FAIL_000003,PAY_000034,CUST_0004,SUB_0004,406.32,2026-03-09,INSUFFICIENT_FUNDS,CUSTOMER_FINANCIAL,744,20,4,24,0.8333,0.6,0.6,normal,0.1667,0.8333,starter,406.32,monthly
FAIL_000004,PAY_000054,CUST_0006,SUB_0006,1013.11,2025-09-11,INSUFFICIENT_FUNDS,CUSTOMER_FINANCIAL,503,13,3,16,0.8125,0.6,0.6,normal,0.1875,0.8125,growth,1013.11,monthly
FAIL_000005,PAY_000061,CUST_0006,SUB_0006,1013.11,2026-04-09,NETWORK_ERROR,TECHNICAL,503,13,3,16,0.8125,0.6,0.6,normal,0.1875,0.8125,growth,1013.11,monthly
FAIL_000006,PAY_000072,CUST_0008,SUB_0008,11574.78,2025-09-24,CARD_EXPIRED,PAYMENT_METHOD,400,11,2,13,0.8462,0.82,0.9,high_value_loyal,0.1538,0.8462,pro,11574.78,monthly
FAIL_000007,PAY_000073,CUST_0008,SUB_0008,11574.78,2025-10-24,LIMIT_EXCEEDED,PAYMENT_LIMIT,400,11,2,13,0.8462,0.82,0.9,high_value_loyal,0.1538,0.8462,pro,11574.78,monthly
FAIL_000008,PAY_000077,CUST_0008,SUB_0008,11574.78,2026-02-21,INSUFFICIENT_FUNDS,CUSTOMER_FINANCIAL,400,11,2,13,0.8462,0.82,0.9,high_value_loyal,0.1538,0.8462,pro,11574.78,monthly
FAIL_000009,PAY_000087,CUST_0009,SUB_0009,2904.8,2025-01-01,BANK_DECLINED,ISSUER_DECLINE,726,23,1,24,0.9583,0.8,0.85,reliable,0.0417,0.9583,pro,2904.8,monthly
FAIL_000010,PAY_000097,CUST_0009,SUB_0009,2904.8,2025-10-28,INSUFFICIENT_FUNDS,CUSTOMER_FINANCIAL,726,23,1,24,0.9583,0.8,0.85,reliable,0.0417,0.9583,pro,2904.8,monthly
FAIL_000011,PAY_000099,CUST_0009,SUB_0009,2904.8,2025-12-27,INSUFFICIENT_FUNDS,CUSTOMER_FINANCIAL,726,23,1,24,0.9583,0.8,0.85,reliable,0.0417,0.9583,pro,2904.8,monthly
FAIL_000012,PAY_000110,CUST_0011,SUB_0011,1603.39,2026-01-27,BANK_DECLINED,ISSUER_DECLINE,275,5,4,9,0.5556,0.35,0.45,friction_prone,0.4444,0.5556,pro,1603.39,monthly
FAIL_000013,PAY_000111,CUST_0011,SUB_0011,1603.39,2026-02-26,INSUFFICIENT_FUNDS,CUSTOMER_FINANCIAL,275,5,4,9,0.5556,0.35,0.45,friction_prone,0.4444,0.5556,pro,1603.39,monthly
FAIL_000014,PAY_000115,CUST_0011,SUB_0011,1603.39,2026-06-26,INSUFFICIENT_FUNDS,CUSTOMER_FINANCIAL,275,5,4,9,0.5556,0.35,0.45,friction_prone,0.4444,0.5556,pro,1603.39,monthly
FAIL_000015,PAY_000116,CUST_0011,SUB_0011,1603.39,2026-07-26,BANK_DECLINED,ISSUER_DECLINE,275,5,4,9,0.5556,0.35,0.45,friction_prone,0.4444,0.5556,pro,1603.39,monthly
FAIL_000016,PAY_000128,CUST_0013,SUB_0013,709.07,2025-11-15,BANK_DECLINED,ISSUER_DECLINE,438,12,2,14,0.8571,0.35,0.45,friction_prone,0.1429,0.8571,starter,709.07,monthly
FAIL_000017,PAY_000129,CUST_0013,SUB_0013,709.07,2025-12-15,INSUFFICIENT_FUNDS,CUSTOMER_FINANCIAL,438,12,2,14,0.8571,0.35,0.45,friction_prone,0.1429,0.8571,starter,709.07,monthly
FAIL_000018,PAY_000133,CUST_0013,SUB_0013,709.07,2026-04-14,BANK_DECLINED,ISSUER_DECLINE,438,12,2,14,0.8571,0.35,0.45,friction_prone,0.1429,0.8571,starter,709.07,monthly
