failure_id,payment_id,customer_id,subscription_id,amount,failure_reason,failure_category,behavior_profile,selected_action,estimated_recovery_probability,action_cost,expected_net_value,decision_margin
FAIL_002718,PAY_016720,CUST_0972,SUB_0972,10043.11,BANK_DECLINED,ISSUER_DECLINE,high_value_loyal,WAIT_AND_RETRY,0.4783,2.0,4801.26,710.69
FAIL_000011,PAY_000099,CUST_0009,SUB_0009,2904.8,INSUFFICIENT_FUNDS,CUSTOMER_FINANCIAL,reliable,WAIT_AND_RETRY,0.5287,2.0,1533.66,226.6
FAIL_002052,PAY_013037,CUST_0763,SUB_0763,580.18,AUTHENTICATION_FAILED,CUSTOMER_ACTION,low_engagement,UPDATE_PAYMENT_METHOD,0.501,3.0,287.67,87.03
FAIL_002105,PAY_013408,CUST_0785,SUB_0785,1990.77,CARD_EXPIRED,PAYMENT_METHOD,friction_prone,UPDATE_PAYMENT_METHOD,0.675,3.0,1340.77,796.31
FAIL_000646,PAY_004353,CUST_0255,SUB_0255,893.84,BANK_DECLINED,ISSUER_DECLINE,low_engagement,WAIT_AND_RETRY,0.4232,2.0,376.25,110.21
FAIL_000342,PAY_002261,CUST_0135,SUB_0135,771.04,INSUFFICIENT_FUNDS,CUSTOMER_FINANCIAL,friction_prone,WAIT_AND_RETRY,0.4805,2.0,368.5,82.36
FAIL_001148,PAY_007761,CUST_0458,SUB_0458,3086.94,BANK_DECLINED,ISSUER_DECLINE,normal,WAIT_AND_RETRY,0.3865,2.0,1191.19,82.89
FAIL_000142,PAY_000831,CUST_0053,SUB_0053,619.66,NETWORK_ERROR,TECHNICAL,low_engagement,RETRY_NOW,0.6476,2.0,399.26,61.97
FAIL_001478,PAY_009698,CUST_0576,SUB_0576,245.25,INSUFFICIENT_FUNDS,CUSTOMER_FINANCIAL,friction_prone,WAIT_AND_RETRY,0.4239,2.0,101.97,13.0
FAIL_002109,PAY_013429,CUST_0786,SUB_0786,313.47,BANK_DECLINED,ISSUER_DECLINE,low_engagement,WAIT_AND_RETRY,0.425,2.0,131.23,39.88
FAIL_002696,PAY_016600,CUST_0967,SUB_0967,10771.74,BANK_DECLINED,ISSUER_DECLINE,high_value_loyal,WAIT_AND_RETRY,0.4761,2.0,5126.38,738.82
FAIL_002335,PAY_014680,CUST_0862,SUB_0862,1374.15,BANK_DECLINED,ISSUER_DECLINE,friction_prone,WAIT_AND_RETRY,0.3723,2.0,509.59,65.99
FAIL_002280,PAY_014435,CUST_0846,SUB_0846,518.72,NETWORK_ERROR,TECHNICAL,low_engagement,RETRY_NOW,0.644,2.0,332.06,51.87
FAIL_000037,PAY_000215,CUST_0019,SUB_0019,2269.23,CARD_EXPIRED,PAYMENT_METHOD,reliable,UPDATE_PAYMENT_METHOD,0.751,3.0,1701.19,907.69
FAIL_000424,PAY_002773,CUST_0162,SUB_0162,293.46,CARD_EXPIRED,PAYMENT_METHOD,low_engagement,UPDATE_PAYMENT_METHOD,0.651,3.0,188.04,117.38
FAIL_000073,PAY_000324,CUST_0025,SUB_0025,2062.52,AUTHENTICATION_FAILED,CUSTOMER_ACTION,normal,UPDATE_PAYMENT_METHOD,0.56,3.0,1152.01,309.38
FAIL_002557,PAY_015664,CUST_0917,SUB_0917,881.56,INSUFFICIENT_FUNDS,CUSTOMER_FINANCIAL,low_engagement,WAIT_AND_RETRY,0.41,2.0,359.44,53.01
FAIL_002537,PAY_015598,CUST_0914,SUB_0914,1851.67,INSUFFICIENT_FUNDS,CUSTOMER_FINANCIAL,normal,WAIT_AND_RETRY,0.5,2.0,923.84,167.65
FAIL_001049,PAY_007140,CUST_0427,SUB_0427,317.18,LIMIT_EXCEEDED,PAYMENT_LIMIT,low_engagement,PAYMENT_LINK,0.451,3.0,140.05,63.44
FAIL_000554,PAY_003716,CUST_0217,SUB_0217,437.85,CARD_EXPIRED,PAYMENT_METHOD,low_engagement,UPDATE_PAYMENT_METHOD,0.651,3.0,282.04,175.14
FAIL_002121,PAY_013499,CUST_0788,SUB_0788,1672.99,INSUFFICIENT_FUNDS,CUSTOMER_FINANCIAL,reliable,WAIT_AND_RETRY,0.5292,2.0,883.41,131.89
FAIL_001976,PAY_012655,CUST_0740,SUB_0740,544.61,BANK_DECLINED,ISSUER_DECLINE,friction_prone,WAIT_AND_RETRY,0.3596,2.0,193.86,19.87
FAIL_000051,PAY_000268,CUST_0022,SUB_0022,929.98,BANK_DECLINED,ISSUER_DECLINE,normal,WAIT_AND_RETRY,0.386,2.0,356.97,25.18
FAIL_001737,PAY_011439,CUST_0672,SUB_0672,2240.02,LIMIT_EXCEEDED,PAYMENT_LIMIT,normal,PAYMENT_LINK,0.51,3.0,1139.41,448.0
FAIL_001002,PAY_006741,CUST_0405,SUB_0405,703.31,CARD_EXPIRED,PAYMENT_METHOD,low_engagement,UPDATE_PAYMENT_METHOD,0.651,3.0,454.85,281.32
FAIL_000678,PAY_004700,CUST_0277,SUB_0277,470.05,LIMIT_EXCEEDED,PAYMENT_LIMIT,low_engagement,PAYMENT_LINK,0.451,3.0,208.99,94.01
FAIL_002363,PAY_014860,CUST_0870,SUB_0870,1325.33,NETWORK_ERROR,TECHNICAL,normal,RETRY_NOW,0.7551,2.0,998.74,132.53
FAIL_001154,PAY_007796,CUST_0461,SUB_0461,1652.19,INSUFFICIENT_FUNDS,CUSTOMER_FINANCIAL,friction_prone,WAIT_AND_RETRY,0.4207,2.0,693.14,76.56
FAIL_001925,PAY_012356,CUST_0722,SUB_0722,1554.01,INSUFFICIENT_FUNDS,CUSTOMER_FINANCIAL,normal,WAIT_AND_RETRY,0.5063,2.0,784.8,150.66
FAIL_001823,PAY_011897,CUST_0699,SUB_0699,5610.27,CARD_EXPIRED,PAYMENT_METHOD,high_value_loyal,UPDATE_PAYMENT_METHOD,0.7576,3.0,4247.34,2244.11
FAIL_002669,PAY_016492,CUST_0964,SUB_0964,1091.43,BANK_DECLINED,ISSUER_DECLINE,friction_prone,WAIT_AND_RETRY,0.3617,2.0,392.78,41.07
FAIL_000295,PAY_001936,CUST_0119,SUB_0119,15000.0,CARD_EXPIRED,PAYMENT_METHOD,high_value_loyal,UPDATE_PAYMENT_METHOD,0.7576,3.0,11361.0,6000.0
FAIL_002407,PAY_015002,CUST_0880,SUB_0880,963.61,INSUFFICIENT_FUNDS,CUSTOMER_FINANCIAL,low_engagement,WAIT_AND_RETRY,0.412,2.0,395.01,59.78
FAIL_000364,PAY_002435,CUST_0143,SUB_0143,890.67,BANK_DECLINED,ISSUER_DECLINE,normal,WAIT_AND_RETRY,0.446,2.0,395.24,77.6
FAIL_000367,PAY_002453,CUST_0145,SUB_0145,1162.18,INSUFFICIENT_FUNDS,CUSTOMER_FINANCIAL,low_engagement,WAIT_AND_RETRY,0.4742,2.0,549.13,144.21
FAIL_001811,PAY_011860,CUST_0697,SUB_0697,671.72,BANK_DECLINED,ISSUER_DECLINE,normal,WAIT_AND_RETRY,0.4596,2.0,306.72,67.9
FAIL_001061,PAY_007218,CUST_0430,SUB_0430,2619.41,AUTHENTICATION_FAILED,CUSTOMER_ACTION,normal,UPDATE_PAYMENT_METHOD,0.56,3.0,1463.87,392.91
FAIL_000689,PAY_004738,CUST_0279,SUB_0279,1302.62,INSUFFICIENT_FUNDS,CUSTOMER_FINANCIAL,friction_prone,WAIT_AND_RETRY,0.4768,2.0,619.09,133.61
FAIL_001473,PAY_009682,CUST_0574,SUB_0574,918.08,BANK_DECLINED,ISSUER_DECLINE,reliable,WAIT_AND_RETRY,0.477,2.0,435.92,70.77
FAIL_001438,PAY_009468,CUST_0563,SUB_0563,404.63,INSUFFICIENT_FUNDS,CUSTOMER_FINANCIAL,low_engagement,WAIT_AND_RETRY,0.482,2.0,193.03,54.01
FAIL_001568,PAY_010519,CUST_0623,SUB_0623,1621.46,NETWORK_ERROR,TECHNICAL,friction_prone,RETRY_NOW,0.6633,2.0,1073.47,162.15
FAIL_000546,PAY_003662,CUST_0215,SUB_0215,7312.97,CARD_EXPIRED,PAYMENT_METHOD,high_value_loyal,UPDATE_PAYMENT_METHOD,0.7576,3.0,5537.31,2925.19
FAIL_002437,PAY_015126,CUST_0888,SUB_0888,14993.1,INSUFFICIENT_FUNDS,CUSTOMER_FINANCIAL,high_value_loyal,WAIT_AND_RETRY,0.5229,2.0,7838.43,980.59
FAIL_001817,PAY_011885,CUST_0698,SUB_0698,636.44,INSUFFICIENT_FUNDS,CUSTOMER_FINANCIAL,friction_prone,WAIT_AND_RETRY,0.4231,2.0,267.31,31.64
FAIL_002529,PAY_015555,CUST_0912,SUB_0912,1241.22,INSUFFICIENT_FUNDS,CUSTOMER_FINANCIAL,low_engagement,WAIT_AND_RETRY,0.4112,2.0,508.43,75.76
FAIL_000944,PAY_006388,CUST_0384,SUB_0384,686.09,NETWORK_ERROR,TECHNICAL,friction_prone,RETRY_NOW,0.6731,2.0,459.84,68.61
FAIL_000724,PAY_004981,CUST_0298,SUB_0298,706.23,BANK_DECLINED,ISSUER_DECLINE,friction_prone,WAIT_AND_RETRY,0.3664,2.0,256.74,30.22
FAIL_002643,PAY_016270,CUST_0949,SUB_0949,974.33,CARD_EXPIRED,PAYMENT_METHOD,low_engagement,UPDATE_PAYMENT_METHOD,0.651,3.0,631.29,389.73
FAIL_001685,PAY_011037,CUST_0648,SUB_0648,808.49,CARD_EXPIRED,PAYMENT_METHOD,low_engagement,UPDATE_PAYMENT_METHOD,0.651,3.0,523.33,323.4
FAIL_001103,PAY_007443,CUST_0441,SUB_0441,791.33,INSUFFICIENT_FUNDS,CUSTOMER_FINANCIAL,friction_prone,WAIT_AND_RETRY,0.4214,2.0,331.45,37.71
FAIL_002024,PAY_012801,CUST_0750,SUB_0750,1696.9,NETWORK_ERROR,TECHNICAL,normal,RETRY_NOW,0.7506,2.0,1271.72,169.69
FAIL_002415,PAY_015045,CUST_0883,SUB_0883,1083.08,INSUFFICIENT_FUNDS,CUSTOMER_FINANCIAL,friction_prone,WAIT_AND_RETRY,0.4076,2.0,439.46,36.31
FAIL_001964,PAY_012612,CUST_0737,SUB_0737,997.2,BANK_DECLINED,ISSUER_DECLINE,low_engagement,WAIT_AND_RETRY,0.4245,2.0,421.31,124.15
FAIL_002677,PAY_016510,CUST_0964,SUB_0964,1091.43,INSUFFICIENT_FUNDS,CUSTOMER_FINANCIAL,friction_prone,WAIT_AND_RETRY,0.4117,2.0,447.35,41.07
FAIL_001010,PAY_006801,CUST_0408,SUB_0408,1572.78,BANK_DECLINED,ISSUER_DECLINE,friction_prone,WAIT_AND_RETRY,0.3693,2.0,578.88,70.73
FAIL_001955,PAY_012560,CUST_0735,SUB_0735,8242.49,NETWORK_ERROR,TECHNICAL,high_value_loyal,RETRY_NOW,0.7636,2.0,6291.97,824.25
FAIL_000407,PAY_002663,CUST_0156,SUB_0156,985.5,INSUFFICIENT_FUNDS,CUSTOMER_FINANCIAL,friction_prone,WAIT_AND_RETRY,0.406,2.0,398.11,31.55
