failure_id,amount,failure_reason,behavior_profile,selected_action,oracle_action,selected_net,oracle_net,opportunity_loss,selected_true_probability,model_probability
FAIL_000961,524.81,CARD_EXPIRED,low_engagement,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,185.85,185.85,0.0,0.35984,0.7905840436676849
FAIL_001171,1737.7,INSUFFICIENT_FUNDS,friction_prone,WAIT_AND_RETRY,WAIT_AND_RETRY,804.25,804.25,0.0,0.463973,0.6868630368285359
FAIL_000318,10848.47,NETWORK_ERROR,high_value_loyal,RETRY_NOW,SEND_REMINDER,10304.05,10305.05,1.0,0.95,0.8733431479470436
FAIL_001802,1377.46,BANK_DECLINED,friction_prone,PAYMENT_LINK,PAYMENT_LINK,493.19,493.19,0.0,0.36022,0.6053414790638625
FAIL_001125,688.54,CARD_EXPIRED,low_engagement,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,257.2,257.2,0.0,0.377907,0.8194821793983909
FAIL_000980,5752.09,BANK_DECLINED,high_value_loyal,PAYMENT_LINK,PAYMENT_LINK,5461.49,5461.49,0.0,0.95,0.7184772661576458
FAIL_001985,1245.07,INSUFFICIENT_FUNDS,low_engagement,WAIT_AND_RETRY,PAYMENT_LINK,335.85,343.79,7.939999999999998,0.271349,0.7116435017602118
FAIL_002136,802.81,BANK_DECLINED,normal,WAIT_AND_RETRY,WAIT_AND_RETRY,664.42,664.42,0.0,0.830105,0.6391471498962856
FAIL_001136,1961.94,BANK_DECLINED,friction_prone,PAYMENT_LINK,PAYMENT_LINK,1048.12,1048.12,0.0,0.535755,0.6517761398967505
FAIL_001013,432.26,NETWORK_ERROR,low_engagement,RETRY_NOW,RETRY_NOW,277.44,277.44,0.0,0.646456,0.8308873072296453
FAIL_001062,2619.41,INSUFFICIENT_FUNDS,normal,WAIT_AND_RETRY,PAYMENT_LINK,1761.67,2058.64,296.9699999999998,0.67331,0.7616161488677231
FAIL_001844,685.76,BANK_DECLINED,friction_prone,WAIT_AND_RETRY,PAYMENT_LINK,255.47,325.97,70.50000000000003,0.375456,0.6507540126133142
FAIL_001945,1784.87,BANK_DECLINED,friction_prone,WAIT_AND_RETRY,WAIT_AND_RETRY,1167.27,1167.27,0.0,0.655103,0.6247368060440134
FAIL_000652,768.63,INSUFFICIENT_FUNDS,low_engagement,WAIT_AND_RETRY,WAIT_AND_RETRY,272.01,272.01,0.0,0.356497,0.6867240894759667
FAIL_001827,618.03,AUTHENTICATION_FAILED,normal,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,494.82,494.82,0.0,0.805502,0.7814434179838267
FAIL_002459,251.0,CARD_EXPIRED,normal,UPDATE_PAYMENT_METHOD,PAYMENT_LINK,180.95,188.49,7.5400000000000205,0.732874,0.7179100514355224
FAIL_001748,208.63,INSUFFICIENT_FUNDS,low_engagement,WAIT_AND_RETRY,WAIT_AND_RETRY,81.71,81.71,0.0,0.401218,0.7968950414688512
FAIL_002068,1882.53,BANK_DECLINED,friction_prone,WAIT_AND_RETRY,PAYMENT_LINK,636.97,672.68,35.70999999999992,0.33942,0.5977953888170059
FAIL_001813,636.44,AUTHENTICATION_FAILED,friction_prone,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,360.69,360.69,0.0,0.571441,0.6167272258885691
FAIL_001300,878.95,NETWORK_ERROR,friction_prone,RETRY_NOW,RETRY_NOW,466.94,466.94,0.0,0.533527,0.7847657154609139
FAIL_002689,231.48,AUTHENTICATION_FAILED,low_engagement,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,64.07,64.07,0.0,0.289729,0.6212082878024476
