failure_id,amount,recoveryos_action,recoveryos_true_probability,recoveryos_actual_revenue,recoveryos_cost,recoveryos_net_revenue,rules_action,rules_true_probability,rules_actual_revenue,rules_cost,rules_net_revenue,oracle_action,oracle_true_probability,oracle_actual_revenue,oracle_cost,oracle_net_revenue,recoveryos_vs_rules_net,recoveryos_vs_oracle_net,oracle_opportunity_loss
FAIL_000301,15000.0,UPDATE_PAYMENT_METHOD,0.95,15000.0,3.0,14997.0,PAYMENT_LINK,0.95,15000.0,3.0,14997.0,PAYMENT_LINK,0.95,15000.0,3.0,14997.0,0.0,0.0,0.0
FAIL_000450,14917.0,RETRY_NOW,0.95,14917.0,2.0,14915.0,RETRY_NOW,0.95,14917.0,2.0,14915.0,SEND_REMINDER,0.95,14917.0,1.0,14916.0,0.0,-1.0,1.0
FAIL_000443,14872.16,RETRY_NOW,0.95,14872.16,2.0,14870.16,RETRY_NOW,0.95,14872.16,2.0,14870.16,SEND_REMINDER,0.95,14872.16,1.0,14871.16,0.0,-1.0,1.0
FAIL_001296,14846.24,RETRY_NOW,0.95,14846.24,2.0,14844.24,RETRY_NOW,0.95,14846.24,2.0,14844.24,RETRY_NOW,0.95,14846.24,2.0,14844.24,0.0,0.0,0.0
FAIL_000298,15000.0,PAYMENT_LINK,0.95,15000.0,3.0,14997.0,WAIT_AND_RETRY,0.932221,15000.0,2.0,14998.0,PAYMENT_LINK,0.95,15000.0,3.0,14997.0,-1.0,0.0,0.0
FAIL_000299,15000.0,PAYMENT_LINK,0.95,15000.0,3.0,14997.0,WAIT_AND_RETRY,0.940805,15000.0,2.0,14998.0,SEND_REMINDER,0.95,15000.0,1.0,14999.0,-1.0,-2.0,2.0
FAIL_000080,15000.0,PAYMENT_LINK,0.95,0.0,3.0,-3.0,WAIT_AND_RETRY,0.943265,15000.0,2.0,14998.0,SEND_REMINDER,0.95,15000.0,1.0,14999.0,-15001.0,-15002.0,15002.0
FAIL_000102,13129.92,UPDATE_PAYMENT_METHOD,0.95,13129.92,3.0,13126.92,UPDATE_PAYMENT_METHOD,0.95,13129.92,3.0,13126.92,PAYMENT_LINK,0.95,13129.92,3.0,13126.92,0.0,0.0,0.0
FAIL_000103,13129.92,UPDATE_PAYMENT_METHOD,0.95,13129.92,3.0,13126.92,UPDATE_PAYMENT_METHOD,0.95,13129.92,3.0,13126.92,PAYMENT_LINK,0.95,13129.92,3.0,13126.92,0.0,0.0,0.0
FAIL_000762,13871.79,WAIT_AND_RETRY,0.95,13871.79,2.0,13869.79,RETRY_NOW,0.95,13871.79,2.0,13869.79,RETRY_NOW,0.95,13871.79,2.0,13869.79,0.0,0.0,0.0
FAIL_000445,14872.16,PAYMENT_LINK,0.95,14872.16,3.0,14869.16,PAYMENT_LINK,0.95,14872.16,3.0,14869.16,PAYMENT_LINK,0.95,14872.16,3.0,14869.16,0.0,0.0,0.0
FAIL_000448,14917.0,PAYMENT_LINK,0.95,14917.0,3.0,14914.0,PAYMENT_LINK,0.95,14917.0,3.0,14914.0,SEND_REMINDER,0.95,14917.0,1.0,14916.0,0.0,-2.0,2.0
FAIL_001267,15000.0,PAYMENT_LINK,0.95,15000.0,3.0,14997.0,PAYMENT_LINK,0.95,15000.0,3.0,14997.0,WAIT_AND_RETRY,0.95,15000.0,2.0,14998.0,0.0,-1.0,1.0
FAIL_002438,14993.1,WAIT_AND_RETRY,0.943881,14993.1,2.0,14991.1,WAIT_AND_RETRY,0.943881,14993.1,2.0,14991.1,PAYMENT_LINK,0.95,14993.1,3.0,14990.1,0.0,1.0,-1.0
FAIL_002441,14993.1,WAIT_AND_RETRY,0.95,14993.1,2.0,14991.1,WAIT_AND_RETRY,0.95,14993.1,2.0,14991.1,SEND_REMINDER,0.95,14993.1,1.0,14992.1,0.0,-1.0,1.0
FAIL_000543,12636.68,WAIT_AND_RETRY,0.95,12636.68,2.0,12634.68,WAIT_AND_RETRY,0.95,12636.68,2.0,12634.68,SEND_REMINDER,0.95,12636.68,1.0,12635.68,0.0,-1.0,1.0
FAIL_000323,14456.27,UPDATE_PAYMENT_METHOD,0.95,14456.27,3.0,14453.27,UPDATE_PAYMENT_METHOD,0.95,14456.27,3.0,14453.27,PAYMENT_LINK,0.95,14456.27,3.0,14453.27,0.0,0.0,0.0
FAIL_000172,11107.73,WAIT_AND_RETRY,0.95,11107.73,2.0,11105.73,RETRY_NOW,0.95,11107.73,2.0,11105.73,RETRY_NOW,0.95,11107.73,2.0,11105.73,0.0,0.0,0.0
FAIL_000318,10848.47,WAIT_AND_RETRY,0.95,10848.47,2.0,10846.47,RETRY_NOW,0.95,10848.47,2.0,10846.47,SEND_REMINDER,0.95,0.0,1.0,-1.0,0.0,10847.47,-10847.47
FAIL_001553,11684.35,WAIT_AND_RETRY,0.93419,11684.35,2.0,11682.35,WAIT_AND_RETRY,0.93419,11684.35,2.0,11682.35,SEND_REMINDER,0.95,11684.35,1.0,11683.35,0.0,-1.0,1.0
