execution_id,execution_timestamp,decision_id,portfolio_rank,failure_id,customer_id,subscription_id,amount,failure_reason,behavior_profile,candidate_action,estimated_recovery_probability,expected_gross_recovery,intervention_cost,expected_net_recovery,policy_result,policy_reason,policy_checks,execution_result,execution_status,execution_reason
EXE_000001_6EB70D76,2026-09-02T04:31:44.784049+00:00,DEC_000001,1,FAIL_000301,CUST_0119,SUB_0119,15000.0,LIMIT_EXCEEDED,high_value_loyal,UPDATE_PAYMENT_METHOD,0.9205904462703752,13808.856694055628,3.0,13805.856694055628,ALLOW,Recovery recommendation passed all deterministic policy and safety checks.,PASS: valid recovery action | PASS: expected net value above threshold | PASS: recovery probability valid | PASS: high-value confidence requirement | PASS: Payment-method update is permitted as an alternative recovery path.,UPDATE_PAYMENT_METHOD,EXECUTED_SIMULATION,Action passed deterministic policy controls and was executed in the RecoveryOS test environment.
EXE_000002_73DE7F95,2026-09-02T04:31:44.784049+00:00,DEC_000002,2,FAIL_000450,CUST_0171,SUB_0171,14917.0,NETWORK_ERROR,high_value_loyal,RETRY_NOW,0.9224601742413324,13760.338419157952,2.0,13758.338419157952,ALLOW,Recovery recommendation passed all deterministic policy and safety checks.,PASS: valid recovery action | PASS: expected net value above threshold | PASS: recovery probability valid | PASS: high-value confidence requirement | PASS: retry action within maximum 2 attempts | PASS: Direct retry is permitted under bounded policy.,RETRY_NOW,EXECUTED_SIMULATION,Action passed deterministic policy controls and was executed in the RecoveryOS test environment.
EXE_000003_E35E5798,2026-09-02T04:31:44.785082+00:00,DEC_000003,3,FAIL_000443,CUST_0169,SUB_0169,14872.16,NETWORK_ERROR,high_value_loyal,RETRY_NOW,0.9042269937480304,13447.808527339706,2.0,13445.808527339706,ALLOW,Recovery recommendation passed all deterministic policy and safety checks.,PASS: valid recovery action | PASS: expected net value above threshold | PASS: recovery probability valid | PASS: high-value confidence requirement | PASS: retry action within maximum 2 attempts | PASS: Direct retry is permitted under bounded policy.,RETRY_NOW,EXECUTED_SIMULATION,Action passed deterministic policy controls and was executed in the RecoveryOS test environment.
EXE_000004_AE0D35BD,2026-09-02T04:31:44.785082+00:00,DEC_000004,4,FAIL_001296,CUST_0494,SUB_0494,14846.24,NETWORK_ERROR,high_value_loyal,RETRY_NOW,0.8777637465548183,13031.491244652005,2.0,13029.491244652005,ALLOW,Recovery recommendation passed all deterministic policy and safety checks.,PASS: valid recovery action | PASS: expected net value above threshold | PASS: recovery probability valid | PASS: high-value confidence requirement | PASS: retry action within maximum 2 attempts | PASS: Direct retry is permitted under bounded policy.,RETRY_NOW,EXECUTED_SIMULATION,Action passed deterministic policy controls and was executed in the RecoveryOS test environment.
EXE_000005_DAF182C2,2026-09-02T04:31:44.785082+00:00,DEC_000005,5,FAIL_000298,CUST_0119,SUB_0119,15000.0,INSUFFICIENT_FUNDS,high_value_loyal,PAYMENT_LINK,0.8333248119597095,12499.872179395645,3.0,12496.872179395645,ALLOW,Recovery recommendation passed all deterministic policy and safety checks.,PASS: valid recovery action | PASS: expected net value above threshold | PASS: recovery probability valid | PASS: high-value confidence requirement | PASS: Payment link is permitted as an alternative recovery path.,PAYMENT_LINK,EXECUTED_SIMULATION,Action passed deterministic policy controls and was executed in the RecoveryOS test environment.
EXE_000006_BFAB7471,2026-09-02T04:31:44.785082+00:00,DEC_000006,6,FAIL_000299,CUST_0119,SUB_0119,15000.0,INSUFFICIENT_FUNDS,high_value_loyal,PAYMENT_LINK,0.8333248119597095,12499.872179395645,3.0,12496.872179395645,ALLOW,Recovery recommendation passed all deterministic policy and safety checks.,PASS: valid recovery action | PASS: expected net value above threshold | PASS: recovery probability valid | PASS: high-value confidence requirement | PASS: Payment link is permitted as an alternative recovery path.,PAYMENT_LINK,EXECUTED_SIMULATION,Action passed deterministic policy controls and was executed in the RecoveryOS test environment.
EXE_000007_A26B6BEA,2026-09-02T04:31:44.785082+00:00,DEC_000007,7,FAIL_000080,CUST_0026,SUB_0026,15000.0,INSUFFICIENT_FUNDS,high_value_loyal,PAYMENT_LINK,0.82757160841332,12413.5741261998,3.0,12410.5741261998,ALLOW,Recovery recommendation passed all deterministic policy and safety checks.,PASS: valid recovery action | PASS: expected net value above threshold | PASS: recovery probability valid | PASS: high-value confidence requirement | PASS: Payment link is permitted as an alternative recovery path.,PAYMENT_LINK,EXECUTED_SIMULATION,Action passed deterministic policy controls and was executed in the RecoveryOS test environment.
EXE_000008_10B0CD18,2026-09-02T04:31:44.786104+00:00,DEC_000008,8,FAIL_000102,CUST_0039,SUB_0039,13129.92,CARD_EXPIRED,high_value_loyal,UPDATE_PAYMENT_METHOD,0.939334390026096,12333.38539429144,3.0,12330.38539429144,ALLOW,Recovery recommendation passed all deterministic policy and safety checks.,PASS: valid recovery action | PASS: expected net value above threshold | PASS: recovery probability valid | PASS: expired-card action is compatible | PASS: high-value confidence requirement | PASS: Payment-method update is permitted as an alternative recovery path.,UPDATE_PAYMENT_METHOD,EXECUTED_SIMULATION,Action passed deterministic policy controls and was executed in the RecoveryOS test environment.
EXE_000009_E4455929,2026-09-02T04:31:44.786104+00:00,DEC_000009,9,FAIL_000103,CUST_0039,SUB_0039,13129.92,CARD_EXPIRED,high_value_loyal,UPDATE_PAYMENT_METHOD,0.939334390026096,12333.38539429144,3.0,12330.38539429144,ALLOW,Recovery recommendation passed all deterministic policy and safety checks.,PASS: valid recovery action | PASS: expected net value above threshold | PASS: recovery probability valid | PASS: expired-card action is compatible | PASS: high-value confidence requirement | PASS: Payment-method update is permitted as an alternative recovery path.,UPDATE_PAYMENT_METHOD,EXECUTED_SIMULATION,Action passed deterministic policy controls and was executed in the RecoveryOS test environment.
EXE_000010_7701E46A,2026-09-02T04:31:44.786104+00:00,DEC_000010,10,FAIL_000762,CUST_0312,SUB_0312,13871.79,NETWORK_ERROR,high_value_loyal,WAIT_AND_RETRY,0.8797088683614944,12203.136683048297,2.0,12201.136683048297,ALLOW,Recovery recommendation passed all deterministic policy and safety checks.,PASS: valid recovery action | PASS: expected net value above threshold | PASS: recovery probability valid | PASS: high-value confidence requirement | PASS: Delayed retry is permitted under bounded policy.,WAIT_AND_RETRY,EXECUTED_SIMULATION,Action passed deterministic policy controls and was executed in the RecoveryOS test environment.
