failure_id,customer_id,subscription_id,amount,failure_reason,behavior_profile,candidate_action,estimated_recovery_probability,expected_gross_recovery,intervention_cost,expected_net_recovery
FAIL_000002,CUST_0004,SUB_0004,406.32,INSUFFICIENT_FUNDS,normal,PAYMENT_LINK,0.7624076168424005,309.7814628754042,3.0,306.7814628754042
FAIL_000003,CUST_0004,SUB_0004,406.32,INSUFFICIENT_FUNDS,normal,PAYMENT_LINK,0.7624076168424005,309.7814628754042,3.0,306.7814628754042
FAIL_000007,CUST_0008,SUB_0008,11574.78,LIMIT_EXCEEDED,high_value_loyal,UPDATE_PAYMENT_METHOD,0.5779330352047651,6689.447737227411,3.0,6686.447737227411
FAIL_000009,CUST_0009,SUB_0009,2904.8,BANK_DECLINED,reliable,WAIT_AND_RETRY,0.6787439791535979,1971.6155106453712,2.0,1969.6155106453712
FAIL_000014,CUST_0011,SUB_0011,1603.39,INSUFFICIENT_FUNDS,friction_prone,PAYMENT_LINK,0.6276400448577801,1006.3517715245162,3.0,1003.3517715245162
FAIL_000015,CUST_0011,SUB_0011,1603.39,BANK_DECLINED,friction_prone,WAIT_AND_RETRY,0.6520625123349483,1045.5105116527327,2.0,1043.5105116527327
FAIL_000023,CUST_0015,SUB_0015,1187.03,INSUFFICIENT_FUNDS,friction_prone,WAIT_AND_RETRY,0.6219551544418002,738.27942697705,2.0,736.27942697705
FAIL_000027,CUST_0015,SUB_0015,1187.03,INSUFFICIENT_FUNDS,friction_prone,WAIT_AND_RETRY,0.6219551544418002,738.27942697705,2.0,736.27942697705
FAIL_000030,CUST_0017,SUB_0017,988.37,NETWORK_ERROR,low_engagement,RETRY_NOW,0.8869601373620688,876.644790964548,2.0,874.644790964548
FAIL_000033,CUST_0017,SUB_0017,988.37,NETWORK_ERROR,low_engagement,RETRY_NOW,0.8869601373620688,876.644790964548,2.0,874.644790964548
FAIL_000039,CUST_0019,SUB_0019,2269.23,AUTHENTICATION_FAILED,reliable,SEND_REMINDER,0.6880335742500144,1561.3064276953603,1.0,1560.3064276953603
