failure_id,amount,failure_reason,account_age_days,successful_payments,failed_payments,total_payments,payment_success_rate,historical_recovery_rate,engagement_score,behavior_profile,candidate_action,raw_probability,calibrated_probability,action_cost,expected_gross_recovery,expected_net_value
FAIL_000002,406.32,INSUFFICIENT_FUNDS,744,20,4,24,0.8333,0.6,0.6,normal,PAYMENT_LINK,0.7624076168424005,0.6923076923076923,3.0,281.29846153846154,278.29846153846154
FAIL_000003,406.32,INSUFFICIENT_FUNDS,744,20,4,24,0.8333,0.6,0.6,normal,PAYMENT_LINK,0.7624076168424005,0.6923076923076923,3.0,281.29846153846154,278.29846153846154
FAIL_000007,11574.78,LIMIT_EXCEEDED,400,11,2,13,0.8462,0.82,0.9,high_value_loyal,UPDATE_PAYMENT_METHOD,0.577933035204765,0.4,3.0,4629.912,4626.912
FAIL_000009,2904.8,BANK_DECLINED,726,23,1,24,0.9583,0.8,0.85,reliable,WAIT_AND_RETRY,0.6787439791535979,0.4711111111111111,2.0,1368.4835555555555,1366.4835555555555
FAIL_000014,1603.39,INSUFFICIENT_FUNDS,275,5,4,9,0.5556,0.35,0.45,friction_prone,PAYMENT_LINK,0.6276400448577799,0.4820359281437126,3.0,772.8915868263474,769.8915868263474
FAIL_000015,1603.39,BANK_DECLINED,275,5,4,9,0.5556,0.35,0.45,friction_prone,WAIT_AND_RETRY,0.6520625123349483,0.4711111111111111,2.0,755.3748444444444,753.3748444444444
FAIL_000023,1187.03,INSUFFICIENT_FUNDS,849,18,10,28,0.6429,0.35,0.45,friction_prone,PAYMENT_LINK,0.6059595362430302,0.4820359281437126,3.0,572.1911077844312,569.1911077844312
FAIL_000027,1187.03,INSUFFICIENT_FUNDS,849,18,10,28,0.6429,0.35,0.45,friction_prone,PAYMENT_LINK,0.6059595362430302,0.4820359281437126,3.0,572.1911077844312,569.1911077844312
FAIL_000030,988.37,NETWORK_ERROR,518,14,3,17,0.8235,0.3,0.25,low_engagement,RETRY_NOW,0.886960137362069,0.8349514563106796,2.0,825.2409708737864,823.2409708737864
FAIL_000033,988.37,NETWORK_ERROR,518,14,3,17,0.8235,0.3,0.25,low_engagement,RETRY_NOW,0.886960137362069,0.8349514563106796,2.0,825.2409708737864,823.2409708737864
FAIL_000039,2269.23,AUTHENTICATION_FAILED,499,15,1,16,0.9375,0.8,0.85,reliable,SEND_REMINDER,0.6880335742500144,0.8125,1.0,1843.749375,1842.749375
FAIL_000040,641.27,BANK_DECLINED,984,23,9,32,0.7188,0.35,0.45,friction_prone,WAIT_AND_RETRY,0.6883120988041177,0.5,2.0,320.635,318.635
FAIL_000048,7397.62,BANK_DECLINED,160,3,2,5,0.6,0.82,0.9,high_value_loyal,SEND_REMINDER,0.559603476485597,0.5,1.0,3698.81,3697.81
FAIL_000061,1192.85,LIMIT_EXCEEDED,866,22,6,28,0.7857,0.6,0.6,normal,PAYMENT_LINK,0.7611993744744466,0.6666666666666661,3.0,795.2333333333326,792.2333333333326
FAIL_000080,15000.0,INSUFFICIENT_FUNDS,723,22,2,24,0.9167,0.82,0.9,high_value_loyal,SEND_REMINDER,0.778447649543888,0.999,1.0,14985.0,14984.0
FAIL_000087,10611.56,LIMIT_EXCEEDED,365,11,1,12,0.9167,0.82,0.9,high_value_loyal,UPDATE_PAYMENT_METHOD,0.7197579988945391,0.5783132530120481,3.0,6136.805783132529,6133.805783132529
FAIL_000097,9606.42,LIMIT_EXCEEDED,841,25,3,28,0.8929,0.82,0.9,high_value_loyal,PAYMENT_LINK,0.7167137909072377,0.5833333333333334,3.0,5603.745000000001,5600.745000000001
FAIL_000101,1015.59,INSUFFICIENT_FUNDS,339,8,3,11,0.7273,0.6,0.6,normal,SEND_REMINDER,0.6694184509844573,0.75,1.0,761.6925,760.6925
FAIL_000102,13129.92,CARD_EXPIRED,481,14,2,16,0.875,0.82,0.9,high_value_loyal,UPDATE_PAYMENT_METHOD,0.9393343900260961,0.999,3.0,13116.79008,13113.79008
FAIL_000103,13129.92,CARD_EXPIRED,481,14,2,16,0.875,0.82,0.9,high_value_loyal,UPDATE_PAYMENT_METHOD,0.9393343900260961,0.999,3.0,13116.79008,13113.79008
FAIL_000109,781.5,BANK_DECLINED,821,24,3,27,0.8889,0.8,0.85,reliable,WAIT_AND_RETRY,0.7231824252139785,0.5714285714285714,2.0,446.57142857142856,444.57142857142856
FAIL_000114,405.71,INSUFFICIENT_FUNDS,773,18,7,25,0.72,0.35,0.45,friction_prone,WAIT_AND_RETRY,0.6796251169994971,0.4711111111111111,2.0,191.13448888888888,189.13448888888888
FAIL_000123,1330.55,CARD_EXPIRED,544,14,4,18,0.7778,0.6,0.6,normal,UPDATE_PAYMENT_METHOD,0.7311473668324994,0.5783132530120481,3.0,769.4746987951805,766.4746987951805
FAIL_000129,706.77,AUTHENTICATION_FAILED,631,12,9,21,0.5714,0.35,0.45,friction_prone,UPDATE_PAYMENT_METHOD,0.7830018425821568,0.6,3.0,424.06199999999995,421.06199999999995
FAIL_000131,706.77,INSUFFICIENT_FUNDS,631,12,9,21,0.5714,0.35,0.45,friction_prone,PAYMENT_LINK,0.6034774066441833,0.4820359281437126,3.0,340.68853293413173,337.68853293413173
FAIL_000132,706.77,INSUFFICIENT_FUNDS,631,12,9,21,0.5714,0.35,0.45,friction_prone,PAYMENT_LINK,0.6034774066441833,0.4820359281437126,3.0,340.68853293413173,337.68853293413173
FAIL_000148,619.66,CARD_EXPIRED,543,8,10,18,0.4444,0.3,0.25,low_engagement,UPDATE_PAYMENT_METHOD,0.8418402002924584,0.8305084745762712,3.0,514.6328813559322,511.6328813559322
FAIL_000157,1656.39,BANK_DECLINED,835,24,3,27,0.8889,0.8,0.85,reliable,WAIT_AND_RETRY,0.7267214701493003,0.5714285714285714,2.0,946.5085714285715,944.5085714285715
FAIL_000159,1656.39,INSUFFICIENT_FUNDS,835,24,3,27,0.8889,0.8,0.85,reliable,SEND_REMINDER,0.7293497233209364,0.8235294117647058,1.0,1364.085882352941,1363.085882352941
FAIL_000163,438.99,INSUFFICIENT_FUNDS,367,9,3,12,0.75,0.3,0.25,low_engagement,WAIT_AND_RETRY,0.8171005899026652,0.8102564102564103,2.0,355.69446153846155,353.69446153846155
FAIL_000164,961.34,AUTHENTICATION_FAILED,897,26,3,29,0.8966,0.6,0.6,normal,PAYMENT_LINK,0.7744497743011143,0.6923076923076923,3.0,665.5430769230769,662.5430769230769
FAIL_000172,11107.73,NETWORK_ERROR,566,17,1,18,0.9444,0.82,0.9,high_value_loyal,WAIT_AND_RETRY,0.9187893554892385,0.999,2.0,11096.62227,11094.62227
FAIL_000178,1637.14,BANK_DECLINED,502,10,6,16,0.625,0.35,0.45,friction_prone,SEND_REMINDER,0.4906342615518362,0.3469387755102041,1.0,567.9873469387755,566.9873469387755
FAIL_000181,756.59,CARD_EXPIRED,184,2,4,6,0.3333,0.3,0.25,low_engagement,UPDATE_PAYMENT_METHOD,0.7599445006388282,0.5783132530120481,3.0,437.54602409638545,434.54602409638545
FAIL_000182,756.59,CARD_EXPIRED,184,2,4,6,0.3333,0.3,0.25,low_engagement,UPDATE_PAYMENT_METHOD,0.7599445006388282,0.5783132530120481,3.0,437.54602409638545,434.54602409638545
FAIL_000188,2676.77,INSUFFICIENT_FUNDS,768,22,3,25,0.88,0.6,0.6,normal,PAYMENT_LINK,0.7631755891241059,0.6923076923076923,3.0,1853.1484615384616,1850.1484615384616
FAIL_000190,622.31,BANK_DECLINED,578,17,2,19,0.8947,0.3,0.25,low_engagement,WAIT_AND_RETRY,0.5055211044545825,0.32075471698113206,2.0,199.60886792452828,197.60886792452828
FAIL_000193,1152.82,INSUFFICIENT_FUNDS,795,17,9,26,0.6538,0.35,0.45,friction_prone,PAYMENT_LINK,0.5995981916839107,0.4820359281437126,3.0,555.7006586826348,552.7006586826348
FAIL_000206,333.96,INSUFFICIENT_FUNDS,767,19,6,25,0.76,0.3,0.25,low_engagement,WAIT_AND_RETRY,0.7093490612678928,0.5714285714285714,2.0,190.8342857142857,188.8342857142857
FAIL_000208,333.96,INSUFFICIENT_FUNDS,767,19,6,25,0.76,0.3,0.25,low_engagement,WAIT_AND_RETRY,0.7093490612678928,0.5714285714285714,2.0,190.8342857142857,188.8342857142857
FAIL_000209,333.96,BANK_DECLINED,767,19,6,25,0.76,0.3,0.25,low_engagement,PAYMENT_LINK,0.5655868977335169,0.3485714285714286,3.0,116.40891428571429,113.40891428571429
FAIL_000222,722.92,BANK_DECLINED,539,10,7,17,0.5882,0.35,0.45,friction_prone,PAYMENT_LINK,0.583529777303682,0.4523809523809524,3.0,327.03523809523807,324.03523809523807
FAIL_000230,1282.95,LIMIT_EXCEEDED,803,21,5,26,0.8077,0.35,0.45,friction_prone,PAYMENT_LINK,0.7532032565847633,0.6601941747572816,3.0,846.9961165048544,843.9961165048544
FAIL_000233,247.97,NETWORK_ERROR,986,26,6,32,0.8125,0.3,0.25,low_engagement,WAIT_AND_RETRY,0.8696857162504463,0.8461538461538461,2.0,209.82076923076923,207.82076923076923
FAIL_000235,247.97,INSUFFICIENT_FUNDS,986,26,6,32,0.8125,0.3,0.25,low_engagement,WAIT_AND_RETRY,0.8130708918035813,0.8102564102564103,2.0,200.91928205128204,198.91928205128204
FAIL_000238,247.97,INSUFFICIENT_FUNDS,986,26,6,32,0.8125,0.3,0.25,low_engagement,WAIT_AND_RETRY,0.8130708918035813,0.8102564102564103,2.0,200.91928205128204,198.91928205128204
FAIL_000240,247.97,NETWORK_ERROR,986,26,6,32,0.8125,0.3,0.25,low_engagement,WAIT_AND_RETRY,0.8696857162504463,0.8461538461538461,2.0,209.82076923076923,207.82076923076923
FAIL_000241,689.76,BANK_DECLINED,593,18,1,19,0.9474,0.8,0.85,reliable,WAIT_AND_RETRY,0.8114728057168846,0.8102564102564103,2.0,558.8824615384615,556.8824615384615
FAIL_000242,10145.96,NETWORK_ERROR,836,22,5,27,0.8148,0.82,0.9,high_value_loyal,WAIT_AND_RETRY,0.8666335040619979,0.8461538461538461,2.0,8585.043076923075,8583.043076923075
FAIL_000249,1689.93,NETWORK_ERROR,435,13,1,14,0.9286,0.8,0.85,reliable,WAIT_AND_RETRY,0.8783216197294041,0.9672131147540983,2.0,1634.5224590163934,1632.5224590163934
FAIL_000250,200.0,INSUFFICIENT_FUNDS,942,22,9,31,0.7097,0.35,0.45,friction_prone,PAYMENT_LINK,0.6972792818488789,0.5418848167539267,3.0,108.37696335078535,105.37696335078535
FAIL_000261,697.76,AUTHENTICATION_FAILED,802,20,6,26,0.7692,0.6,0.6,normal,SEND_REMINDER,0.6774674218541009,0.75,1.0,523.3199999999999,522.3199999999999
