failure_id,payment_id,customer_id,subscription_id,amount,payment_date,failure_reason,failure_category,account_age_days,successful_payments,failed_payments,total_payments,payment_success_rate,historical_recovery_rate,engagement_score,behavior_profile,failure_ratio,payment_reliability,plan,monthly_subscription_value,billing_interval,candidate_action,estimated_recovery_probability,intervention_cost,expected_gross_recovery,expected_net_recovery,rank
FAIL_000002,PAY_000029,CUST_0004,SUB_0004,406.32,2025-10-10,INSUFFICIENT_FUNDS,CUSTOMER_FINANCIAL,744,20,4,24,0.8333,0.6,0.6,normal,0.1667,0.8333,starter,406.32,monthly,PAYMENT_LINK,0.7624076168424005,3.0,309.7814628754042,306.7814628754042,1
FAIL_000002,PAY_000029,CUST_0004,SUB_0004,406.32,2025-10-10,INSUFFICIENT_FUNDS,CUSTOMER_FINANCIAL,744,20,4,24,0.8333,0.6,0.6,normal,0.1667,0.8333,starter,406.32,monthly,WAIT_AND_RETRY,0.7250468201521529,2.0,294.6010239642228,292.6010239642228,2
FAIL_000002,PAY_000029,CUST_0004,SUB_0004,406.32,2025-10-10,INSUFFICIENT_FUNDS,CUSTOMER_FINANCIAL,744,20,4,24,0.8333,0.6,0.6,normal,0.1667,0.8333,starter,406.32,monthly,SEND_REMINDER,0.6202986476407993,1.0,252.03974650940958,251.03974650940958,3
FAIL_000002,PAY_000029,CUST_0004,SUB_0004,406.32,2025-10-10,INSUFFICIENT_FUNDS,CUSTOMER_FINANCIAL,744,20,4,24,0.8333,0.6,0.6,normal,0.1667,0.8333,starter,406.32,monthly,UPDATE_PAYMENT_METHOD,0.5030597678390751,3.0,204.403244868373,201.403244868373,4
FAIL_000002,PAY_000029,CUST_0004,SUB_0004,406.32,2025-10-10,INSUFFICIENT_FUNDS,CUSTOMER_FINANCIAL,744,20,4,24,0.8333,0.6,0.6,normal,0.1667,0.8333,starter,406.32,monthly,RETRY_NOW,0.36717032202385536,2.0,149.1886452447329,147.1886452447329,5
FAIL_000002,PAY_000029,CUST_0004,SUB_0004,406.32,2025-10-10,INSUFFICIENT_FUNDS,CUSTOMER_FINANCIAL,744,20,4,24,0.8333,0.6,0.6,normal,0.1667,0.8333,starter,406.32,monthly,STOP,0.0,0.0,0.0,0.0,6
FAIL_000003,PAY_000034,CUST_0004,SUB_0004,406.32,2026-03-09,INSUFFICIENT_FUNDS,CUSTOMER_FINANCIAL,744,20,4,24,0.8333,0.6,0.6,normal,0.1667,0.8333,starter,406.32,monthly,PAYMENT_LINK,0.7624076168424005,3.0,309.7814628754042,306.7814628754042,1
FAIL_000003,PAY_000034,CUST_0004,SUB_0004,406.32,2026-03-09,INSUFFICIENT_FUNDS,CUSTOMER_FINANCIAL,744,20,4,24,0.8333,0.6,0.6,normal,0.1667,0.8333,starter,406.32,monthly,WAIT_AND_RETRY,0.7250468201521529,2.0,294.6010239642228,292.6010239642228,2
FAIL_000003,PAY_000034,CUST_0004,SUB_0004,406.32,2026-03-09,INSUFFICIENT_FUNDS,CUSTOMER_FINANCIAL,744,20,4,24,0.8333,0.6,0.6,normal,0.1667,0.8333,starter,406.32,monthly,SEND_REMINDER,0.6202986476407993,1.0,252.03974650940958,251.03974650940958,3
FAIL_000003,PAY_000034,CUST_0004,SUB_0004,406.32,2026-03-09,INSUFFICIENT_FUNDS,CUSTOMER_FINANCIAL,744,20,4,24,0.8333,0.6,0.6,normal,0.1667,0.8333,starter,406.32,monthly,UPDATE_PAYMENT_METHOD,0.5030597678390751,3.0,204.403244868373,201.403244868373,4
FAIL_000003,PAY_000034,CUST_0004,SUB_0004,406.32,2026-03-09,INSUFFICIENT_FUNDS,CUSTOMER_FINANCIAL,744,20,4,24,0.8333,0.6,0.6,normal,0.1667,0.8333,starter,406.32,monthly,RETRY_NOW,0.36717032202385536,2.0,149.1886452447329,147.1886452447329,5
FAIL_000003,PAY_000034,CUST_0004,SUB_0004,406.32,2026-03-09,INSUFFICIENT_FUNDS,CUSTOMER_FINANCIAL,744,20,4,24,0.8333,0.6,0.6,normal,0.1667,0.8333,starter,406.32,monthly,STOP,0.0,0.0,0.0,0.0,6
FAIL_000007,PAY_000073,CUST_0008,SUB_0008,11574.78,2025-10-24,LIMIT_EXCEEDED,PAYMENT_LIMIT,400,11,2,13,0.8462,0.82,0.9,high_value_loyal,0.1538,0.8462,pro,11574.78,monthly,UPDATE_PAYMENT_METHOD,0.577933035204765,3.0,6689.4477372274105,6686.4477372274105,1
FAIL_000007,PAY_000073,CUST_0008,SUB_0008,11574.78,2025-10-24,LIMIT_EXCEEDED,PAYMENT_LIMIT,400,11,2,13,0.8462,0.82,0.9,high_value_loyal,0.1538,0.8462,pro,11574.78,monthly,PAYMENT_LINK,0.5261271532467059,3.0,6089.806050856907,6086.806050856907,2
FAIL_000007,PAY_000073,CUST_0008,SUB_0008,11574.78,2025-10-24,LIMIT_EXCEEDED,PAYMENT_LIMIT,400,11,2,13,0.8462,0.82,0.9,high_value_loyal,0.1538,0.8462,pro,11574.78,monthly,WAIT_AND_RETRY,0.5052873675286851,2.0,5848.590115923674,5846.590115923674,3
FAIL_000007,PAY_000073,CUST_0008,SUB_0008,11574.78,2025-10-24,LIMIT_EXCEEDED,PAYMENT_LIMIT,400,11,2,13,0.8462,0.82,0.9,high_value_loyal,0.1538,0.8462,pro,11574.78,monthly,SEND_REMINDER,0.3321912522649507,1.0,3845.0406628913065,3844.0406628913065,4
FAIL_000007,PAY_000073,CUST_0008,SUB_0008,11574.78,2025-10-24,LIMIT_EXCEEDED,PAYMENT_LIMIT,400,11,2,13,0.8462,0.82,0.9,high_value_loyal,0.1538,0.8462,pro,11574.78,monthly,RETRY_NOW,0.18075932534488873,2.0,2092.2494238155114,2090.2494238155114,5
FAIL_000007,PAY_000073,CUST_0008,SUB_0008,11574.78,2025-10-24,LIMIT_EXCEEDED,PAYMENT_LIMIT,400,11,2,13,0.8462,0.82,0.9,high_value_loyal,0.1538,0.8462,pro,11574.78,monthly,STOP,0.0,0.0,0.0,0.0,6
FAIL_000009,PAY_000087,CUST_0009,SUB_0009,2904.8,2025-01-01,BANK_DECLINED,ISSUER_DECLINE,726,23,1,24,0.9583,0.8,0.85,reliable,0.0417,0.9583,pro,2904.8,monthly,WAIT_AND_RETRY,0.6787439791535979,2.0,1971.6155106453712,1969.6155106453712,1
FAIL_000009,PAY_000087,CUST_0009,SUB_0009,2904.8,2025-01-01,BANK_DECLINED,ISSUER_DECLINE,726,23,1,24,0.9583,0.8,0.85,reliable,0.0417,0.9583,pro,2904.8,monthly,PAYMENT_LINK,0.5602388377443892,3.0,1627.3817758799019,1624.3817758799019,2
FAIL_000009,PAY_000087,CUST_0009,SUB_0009,2904.8,2025-01-01,BANK_DECLINED,ISSUER_DECLINE,726,23,1,24,0.9583,0.8,0.85,reliable,0.0417,0.9583,pro,2904.8,monthly,SEND_REMINDER,0.44879850413672534,1.0,1303.6698948163598,1302.6698948163598,3
FAIL_000009,PAY_000087,CUST_0009,SUB_0009,2904.8,2025-01-01,BANK_DECLINED,ISSUER_DECLINE,726,23,1,24,0.9583,0.8,0.85,reliable,0.0417,0.9583,pro,2904.8,monthly,UPDATE_PAYMENT_METHOD,0.30315928141408666,3.0,880.617080651639,877.617080651639,4
FAIL_000009,PAY_000087,CUST_0009,SUB_0009,2904.8,2025-01-01,BANK_DECLINED,ISSUER_DECLINE,726,23,1,24,0.9583,0.8,0.85,reliable,0.0417,0.9583,pro,2904.8,monthly,RETRY_NOW,0.17214023739252632,2.0,500.03296157781045,498.03296157781045,5
FAIL_000009,PAY_000087,CUST_0009,SUB_0009,2904.8,2025-01-01,BANK_DECLINED,ISSUER_DECLINE,726,23,1,24,0.9583,0.8,0.85,reliable,0.0417,0.9583,pro,2904.8,monthly,STOP,0.0,0.0,0.0,0.0,6
FAIL_000014,PAY_000115,CUST_0011,SUB_0011,1603.39,2026-06-26,INSUFFICIENT_FUNDS,CUSTOMER_FINANCIAL,275,5,4,9,0.5556,0.35,0.45,friction_prone,0.4444,0.5556,pro,1603.39,monthly,PAYMENT_LINK,0.62764004485778,3.0,1006.3517715245159,1003.3517715245159,1
FAIL_000014,PAY_000115,CUST_0011,SUB_0011,1603.39,2026-06-26,INSUFFICIENT_FUNDS,CUSTOMER_FINANCIAL,275,5,4,9,0.5556,0.35,0.45,friction_prone,0.4444,0.5556,pro,1603.39,monthly,SEND_REMINDER,0.4524620972279674,1.0,725.4732020743506,724.4732020743506,2
FAIL_000014,PAY_000115,CUST_0011,SUB_0011,1603.39,2026-06-26,INSUFFICIENT_FUNDS,CUSTOMER_FINANCIAL,275,5,4,9,0.5556,0.35,0.45,friction_prone,0.4444,0.5556,pro,1603.39,monthly,WAIT_AND_RETRY,0.45189381794873984,2.0,724.56202876083,722.56202876083,3
