failure_id,payment_id,customer_id,subscription_id,amount,payment_date,failure_reason,failure_category,account_age_days,successful_payments,failed_payments,total_payments,payment_success_rate,historical_recovery_rate,engagement_score,behavior_profile,failure_ratio,payment_reliability,plan,monthly_subscription_value,billing_interval,candidate_action,estimated_recovery_probability,intervention_cost,expected_gross_recovery,expected_net_recovery,rank
FAIL_000002,PAY_000029,CUST_0004,SUB_0004,406.32,2025-10-10,INSUFFICIENT_FUNDS,CUSTOMER_FINANCIAL,744,20,4,24,0.8333,0.6,0.6,normal,0.1667,0.8333,starter,406.32,monthly,PAYMENT_LINK,0.7624076168424005,3.0,309.7814628754042,306.7814628754042,1
FAIL_000003,PAY_000034,CUST_0004,SUB_0004,406.32,2026-03-09,INSUFFICIENT_FUNDS,CUSTOMER_FINANCIAL,744,20,4,24,0.8333,0.6,0.6,normal,0.1667,0.8333,starter,406.32,monthly,PAYMENT_LINK,0.7624076168424005,3.0,309.7814628754042,306.7814628754042,1
FAIL_000007,PAY_000073,CUST_0008,SUB_0008,11574.78,2025-10-24,LIMIT_EXCEEDED,PAYMENT_LIMIT,400,11,2,13,0.8462,0.82,0.9,high_value_loyal,0.1538,0.8462,pro,11574.78,monthly,UPDATE_PAYMENT_METHOD,0.577933035204765,3.0,6689.4477372274105,6686.4477372274105,1
FAIL_000009,PAY_000087,CUST_0009,SUB_0009,2904.8,2025-01-01,BANK_DECLINED,ISSUER_DECLINE,726,23,1,24,0.9583,0.8,0.85,reliable,0.0417,0.9583,pro,2904.8,monthly,WAIT_AND_RETRY,0.6787439791535979,2.0,1971.6155106453712,1969.6155106453712,1
FAIL_000014,PAY_000115,CUST_0011,SUB_0011,1603.39,2026-06-26,INSUFFICIENT_FUNDS,CUSTOMER_FINANCIAL,275,5,4,9,0.5556,0.35,0.45,friction_prone,0.4444,0.5556,pro,1603.39,monthly,PAYMENT_LINK,0.62764004485778,3.0,1006.3517715245159,1003.3517715245159,1
FAIL_000015,PAY_000116,CUST_0011,SUB_0011,1603.39,2026-07-26,BANK_DECLINED,ISSUER_DECLINE,275,5,4,9,0.5556,0.35,0.45,friction_prone,0.4444,0.5556,pro,1603.39,monthly,WAIT_AND_RETRY,0.6520625123349483,2.0,1045.5105116527327,1043.5105116527327,1
FAIL_000023,PAY_000168,CUST_0015,SUB_0015,1187.03,2025-05-28,INSUFFICIENT_FUNDS,CUSTOMER_FINANCIAL,849,18,10,28,0.6429,0.35,0.45,friction_prone,0.3571,0.6429,starter,1187.03,monthly,WAIT_AND_RETRY,0.6219551544418,2.0,738.2794269770499,736.2794269770499,1
FAIL_000027,PAY_000181,CUST_0015,SUB_0015,1187.03,2026-06-22,INSUFFICIENT_FUNDS,CUSTOMER_FINANCIAL,849,18,10,28,0.6429,0.35,0.45,friction_prone,0.3571,0.6429,starter,1187.03,monthly,WAIT_AND_RETRY,0.6219551544418,2.0,738.2794269770499,736.2794269770499,1
FAIL_000030,PAY_000196,CUST_0017,SUB_0017,988.37,2025-10-26,NETWORK_ERROR,TECHNICAL,518,14,3,17,0.8235,0.3,0.25,low_engagement,0.1765,0.8235,starter,988.37,monthly,RETRY_NOW,0.8869601373620688,2.0,876.644790964548,874.644790964548,1
FAIL_000033,PAY_000201,CUST_0017,SUB_0017,988.37,2026-03-25,NETWORK_ERROR,TECHNICAL,518,14,3,17,0.8235,0.3,0.25,low_engagement,0.1765,0.8235,starter,988.37,monthly,RETRY_NOW,0.8869601373620688,2.0,876.644790964548,874.644790964548,1
