failure_id,payment_id,customer_id,subscription_id,amount,failure_reason,behavior_profile,selected_action,estimated_recovery_probability,action_cost,expected_net_value,decision_margin
FAIL_000961,PAY_006433,CUST_0387,SUB_0387,524.81,CARD_EXPIRED,low_engagement,WAIT_AND_RETRY,0.3288,2.0,170.58,22.56
FAIL_001171,PAY_007919,CUST_0468,SUB_0468,1737.7,INSUFFICIENT_FUNDS,friction_prone,WAIT_AND_RETRY,0.438,2.0,759.06,82.26
FAIL_000318,PAY_002106,CUST_0125,SUB_0125,10848.47,NETWORK_ERROR,high_value_loyal,WAIT_AND_RETRY,0.6312,2.0,6845.29,499.08
FAIL_001802,PAY_011823,CUST_0694,SUB_0694,1377.46,BANK_DECLINED,friction_prone,WAIT_AND_RETRY,0.3719,2.0,510.31,61.37
FAIL_001125,PAY_007583,CUST_0449,SUB_0449,688.54,CARD_EXPIRED,low_engagement,WAIT_AND_RETRY,0.3283,2.0,224.05,29.26
FAIL_000980,PAY_006544,CUST_0396,SUB_0396,5752.09,BANK_DECLINED,high_value_loyal,WAIT_AND_RETRY,0.4792,2.0,2754.27,275.88
FAIL_001985,PAY_012686,CUST_0743,SUB_0743,1245.07,INSUFFICIENT_FUNDS,low_engagement,WAIT_AND_RETRY,0.3907,2.0,484.44,56.81
FAIL_002136,PAY_013654,CUST_0797,SUB_0797,802.81,BANK_DECLINED,normal,WAIT_AND_RETRY,0.4297,2.0,342.98,38.32
FAIL_001136,PAY_007722,CUST_0457,SUB_0457,1961.94,BANK_DECLINED,friction_prone,WAIT_AND_RETRY,0.3819,2.0,747.31,88.06
FAIL_001013,PAY_006822,CUST_0409,SUB_0409,432.26,NETWORK_ERROR,low_engagement,WAIT_AND_RETRY,0.4943,2.0,211.67,21.75
FAIL_001062,PAY_007221,CUST_0430,SUB_0430,2619.41,INSUFFICIENT_FUNDS,normal,WAIT_AND_RETRY,0.4897,2.0,1280.63,126.59
FAIL_001844,PAY_011998,CUST_0704,SUB_0704,685.76,BANK_DECLINED,friction_prone,WAIT_AND_RETRY,0.3806,2.0,258.99,31.38
FAIL_001945,PAY_012483,CUST_0731,SUB_0731,1784.87,BANK_DECLINED,friction_prone,WAIT_AND_RETRY,0.381,2.0,678.02,80.12
FAIL_000652,PAY_004454,CUST_0261,SUB_0261,768.63,INSUFFICIENT_FUNDS,low_engagement,WAIT_AND_RETRY,0.3917,2.0,299.1,35.49
FAIL_001827,PAY_011942,CUST_0702,SUB_0702,618.03,AUTHENTICATION_FAILED,normal,WAIT_AND_RETRY,0.446,2.0,273.65,30.06
FAIL_002459,PAY_015186,CUST_0890,SUB_0890,251.0,CARD_EXPIRED,normal,WAIT_AND_RETRY,0.409,2.0,100.65,12.46
FAIL_001748,PAY_011489,CUST_0676,SUB_0676,208.63,INSUFFICIENT_FUNDS,low_engagement,WAIT_AND_RETRY,0.4048,2.0,82.46,10.49
FAIL_002068,PAY_013098,CUST_0766,SUB_0766,1882.53,BANK_DECLINED,friction_prone,WAIT_AND_RETRY,0.3722,2.0,698.74,83.54
FAIL_001813,PAY_011872,CUST_0698,SUB_0698,636.44,AUTHENTICATION_FAILED,friction_prone,WAIT_AND_RETRY,0.3903,2.0,246.41,29.52
FAIL_001300,PAY_008527,CUST_0500,SUB_0500,878.95,NETWORK_ERROR,friction_prone,WAIT_AND_RETRY,0.5252,2.0,459.63,43.34
FAIL_002689,PAY_016559,CUST_0966,SUB_0966,231.48,AUTHENTICATION_FAILED,low_engagement,WAIT_AND_RETRY,0.3616,2.0,81.7,11.01
FAIL_001904,PAY_012258,CUST_0718,SUB_0718,799.44,INSUFFICIENT_FUNDS,low_engagement,WAIT_AND_RETRY,0.4015,2.0,318.96,37.24
FAIL_000547,PAY_003669,CUST_0215,SUB_0215,7312.97,LIMIT_EXCEEDED,high_value_loyal,WAIT_AND_RETRY,0.4444,2.0,3247.65,344.46
FAIL_001870,PAY_012077,CUST_0707,SUB_0707,933.74,INSUFFICIENT_FUNDS,friction_prone,WAIT_AND_RETRY,0.4387,2.0,407.59,44.69
FAIL_000498,PAY_003292,CUST_0192,SUB_0192,378.71,INSUFFICIENT_FUNDS,friction_prone,WAIT_AND_RETRY,0.4332,2.0,162.04,18.65
FAIL_001021,PAY_006874,CUST_0412,SUB_0412,449.29,INSUFFICIENT_FUNDS,low_engagement,WAIT_AND_RETRY,0.4027,2.0,178.93,21.39
FAIL_002499,PAY_015371,CUST_0903,SUB_0903,5512.84,CARD_EXPIRED,high_value_loyal,WAIT_AND_RETRY,0.4575,2.0,2520.37,261.92
FAIL_001903,PAY_012257,CUST_0718,SUB_0718,799.44,AUTHENTICATION_FAILED,low_engagement,WAIT_AND_RETRY,0.3632,2.0,288.35,35.64
FAIL_002122,PAY_013502,CUST_0789,SUB_0789,694.22,BANK_DECLINED,normal,WAIT_AND_RETRY,0.4273,2.0,294.66,33.21
FAIL_000721,PAY_004965,CUST_0298,SUB_0298,706.23,INSUFFICIENT_FUNDS,friction_prone,WAIT_AND_RETRY,0.4353,2.0,305.41,33.96
FAIL_000897,PAY_006013,CUST_0365,SUB_0365,578.62,BANK_DECLINED,normal,WAIT_AND_RETRY,0.4171,2.0,239.36,27.62
FAIL_001742,PAY_011470,CUST_0675,SUB_0675,859.71,NETWORK_ERROR,friction_prone,WAIT_AND_RETRY,0.5242,2.0,448.7,42.42
FAIL_000437,PAY_002871,CUST_0168,SUB_0168,1204.32,INSUFFICIENT_FUNDS,normal,WAIT_AND_RETRY,0.484,2.0,580.84,58.65
FAIL_000023,PAY_000168,CUST_0015,SUB_0015,1187.03,INSUFFICIENT_FUNDS,friction_prone,WAIT_AND_RETRY,0.436,2.0,515.6,56.44
FAIL_000605,PAY_004104,CUST_0243,SUB_0243,928.54,NETWORK_ERROR,friction_prone,WAIT_AND_RETRY,0.518,2.0,478.98,45.73
FAIL_001000,PAY_006694,CUST_0402,SUB_0402,568.13,CARD_EXPIRED,friction_prone,WAIT_AND_RETRY,0.3695,2.0,207.9,25.82
FAIL_001637,PAY_010851,CUST_0638,SUB_0638,1633.25,INSUFFICIENT_FUNDS,friction_prone,WAIT_AND_RETRY,0.4356,2.0,709.42,77.25
FAIL_002025,PAY_012817,CUST_0750,SUB_0750,1696.9,CARD_EXPIRED,normal,WAIT_AND_RETRY,0.414,2.0,700.53,78.86
FAIL_001573,PAY_010531,CUST_0623,SUB_0623,1621.46,BANK_DECLINED,friction_prone,WAIT_AND_RETRY,0.3748,2.0,605.65,72.32
FAIL_000797,PAY_005456,CUST_0330,SUB_0330,998.82,BANK_DECLINED,normal,WAIT_AND_RETRY,0.4285,2.0,425.95,47.39
FAIL_001698,PAY_011096,CUST_0651,SUB_0651,1314.12,INSUFFICIENT_FUNDS,normal,WAIT_AND_RETRY,0.476,2.0,623.57,63.73
FAIL_001866,PAY_012067,CUST_0707,SUB_0707,933.74,INSUFFICIENT_FUNDS,friction_prone,WAIT_AND_RETRY,0.4387,2.0,407.59,44.69
FAIL_000299,PAY_001947,CUST_0119,SUB_0119,15000.0,INSUFFICIENT_FUNDS,high_value_loyal,WAIT_AND_RETRY,0.5502,2.0,8251.61,721.62
FAIL_002608,PAY_016046,CUST_0935,SUB_0935,295.63,NETWORK_ERROR,low_engagement,WAIT_AND_RETRY,0.4917,2.0,143.37,15.18
FAIL_002712,PAY_016703,CUST_0971,SUB_0971,401.23,AUTHENTICATION_FAILED,friction_prone,WAIT_AND_RETRY,0.3941,2.0,156.13,19.05
FAIL_000190,PAY_001255,CUST_0082,SUB_0082,622.31,BANK_DECLINED,low_engagement,WAIT_AND_RETRY,0.3434,2.0,211.71,27.19
FAIL_000101,PAY_000568,CUST_0038,SUB_0038,1015.59,INSUFFICIENT_FUNDS,normal,WAIT_AND_RETRY,0.4773,2.0,482.75,49.5
FAIL_000604,PAY_004093,CUST_0242,SUB_0242,408.16,CARD_EXPIRED,low_engagement,WAIT_AND_RETRY,0.3276,2.0,131.73,17.73
FAIL_000816,PAY_005532,CUST_0336,SUB_0336,1661.44,INSUFFICIENT_FUNDS,friction_prone,WAIT_AND_RETRY,0.4344,2.0,719.68,78.5
FAIL_002590,PAY_015849,CUST_0926,SUB_0926,706.67,BANK_DECLINED,reliable,WAIT_AND_RETRY,0.4654,2.0,326.86,34.58
FAIL_001272,PAY_008376,CUST_0489,SUB_0489,8583.5,NETWORK_ERROR,high_value_loyal,WAIT_AND_RETRY,0.6238,2.0,5352.03,397.71
FAIL_000963,PAY_006437,CUST_0387,SUB_0387,524.81,AUTHENTICATION_FAILED,low_engagement,WAIT_AND_RETRY,0.3582,2.0,186.01,23.58
FAIL_002528,PAY_015549,CUST_0911,SUB_0911,2077.0,INSUFFICIENT_FUNDS,normal,WAIT_AND_RETRY,0.4909,2.0,1017.54,100.62
FAIL_001373,PAY_009066,CUST_0535,SUB_0535,11601.39,BANK_DECLINED,high_value_loyal,WAIT_AND_RETRY,0.4786,2.0,5550.68,555.3
FAIL_002112,PAY_013438,CUST_0786,SUB_0786,313.47,CARD_EXPIRED,low_engagement,WAIT_AND_RETRY,0.3364,2.0,103.46,14.04
FAIL_001163,PAY_007821,CUST_0462,SUB_0462,1399.49,NETWORK_ERROR,friction_prone,WAIT_AND_RETRY,0.5262,2.0,734.48,68.42
FAIL_000348,PAY_002276,CUST_0135,SUB_0135,771.04,INSUFFICIENT_FUNDS,friction_prone,WAIT_AND_RETRY,0.4392,2.0,336.63,37.09
FAIL_000696,PAY_004766,CUST_0281,SUB_0281,913.36,NETWORK_ERROR,normal,WAIT_AND_RETRY,0.5751,2.0,523.27,44.54
FAIL_001939,PAY_012430,CUST_0728,SUB_0728,1036.92,AUTHENTICATION_FAILED,friction_prone,WAIT_AND_RETRY,0.3975,2.0,410.15,47.82
FAIL_002094,PAY_013341,CUST_0780,SUB_0780,2075.84,BANK_DECLINED,normal,WAIT_AND_RETRY,0.4255,2.0,881.3,97.18
FAIL_002522,PAY_015512,CUST_0910,SUB_0910,293.13,NETWORK_ERROR,normal,WAIT_AND_RETRY,0.5716,2.0,165.54,14.99
FAIL_001812,PAY_011861,CUST_0697,SUB_0697,671.72,LIMIT_EXCEEDED,normal,WAIT_AND_RETRY,0.3972,2.0,264.83,31.32
FAIL_002412,PAY_015042,CUST_0883,SUB_0883,1083.08,BANK_DECLINED,friction_prone,WAIT_AND_RETRY,0.3752,2.0,404.32,48.67
FAIL_001905,PAY_012259,CUST_0718,SUB_0718,799.44,BANK_DECLINED,low_engagement,WAIT_AND_RETRY,0.3451,2.0,273.91,34.73
FAIL_001320,PAY_008671,CUST_0508,SUB_0508,676.53,CARD_EXPIRED,normal,WAIT_AND_RETRY,0.4104,2.0,275.66,31.94
FAIL_002398,PAY_014958,CUST_0877,SUB_0877,1893.79,INSUFFICIENT_FUNDS,friction_prone,WAIT_AND_RETRY,0.4231,2.0,799.32,88.58
FAIL_002476,PAY_015243,CUST_0896,SUB_0896,397.37,INSUFFICIENT_FUNDS,friction_prone,WAIT_AND_RETRY,0.4352,2.0,170.94,19.55
FAIL_001176,PAY_007930,CUST_0468,SUB_0468,1737.7,NETWORK_ERROR,friction_prone,WAIT_AND_RETRY,0.5283,2.0,916.0,84.71
FAIL_001245,PAY_008226,CUST_0482,SUB_0482,1120.08,INSUFFICIENT_FUNDS,normal,WAIT_AND_RETRY,0.4876,2.0,544.2,54.67
FAIL_000002,PAY_000029,CUST_0004,SUB_0004,406.32,INSUFFICIENT_FUNDS,normal,WAIT_AND_RETRY,0.4848,2.0,194.97,20.45
FAIL_002245,PAY_014278,CUST_0836,SUB_0836,468.26,INSUFFICIENT_FUNDS,friction_prone,WAIT_AND_RETRY,0.4308,2.0,199.72,22.78
FAIL_001664,PAY_010952,CUST_0644,SUB_0644,289.39,INSUFFICIENT_FUNDS,low_engagement,WAIT_AND_RETRY,0.4013,2.0,114.13,14.12
FAIL_001233,PAY_008158,CUST_0479,SUB_0479,493.48,NETWORK_ERROR,low_engagement,WAIT_AND_RETRY,0.4934,2.0,241.49,24.68
FAIL_000713,PAY_004891,CUST_0291,SUB_0291,1068.05,LIMIT_EXCEEDED,friction_prone,WAIT_AND_RETRY,0.3431,2.0,364.48,45.93
FAIL_002518,PAY_015505,CUST_0910,SUB_0910,293.13,CARD_EXPIRED,normal,WAIT_AND_RETRY,0.4092,2.0,117.96,14.39
FAIL_001723,PAY_011315,CUST_0665,SUB_0665,374.12,BANK_DECLINED,low_engagement,WAIT_AND_RETRY,0.3357,2.0,123.59,16.55
FAIL_000786,PAY_005403,CUST_0325,SUB_0325,726.01,AUTHENTICATION_FAILED,low_engagement,WAIT_AND_RETRY,0.3625,2.0,261.18,32.42
FAIL_000522,PAY_003541,CUST_0210,SUB_0210,799.69,BANK_DECLINED,reliable,WAIT_AND_RETRY,0.4612,2.0,366.82,38.92
FAIL_002271,PAY_014415,CUST_0844,SUB_0844,471.41,INSUFFICIENT_FUNDS,friction_prone,WAIT_AND_RETRY,0.4182,2.0,195.14,22.71
FAIL_001212,PAY_008090,CUST_0475,SUB_0475,332.6,NETWORK_ERROR,low_engagement,WAIT_AND_RETRY,0.4902,2.0,161.05,16.95
FAIL_001649,PAY_010889,CUST_0640,SUB_0640,1249.65,INSUFFICIENT_FUNDS,friction_prone,WAIT_AND_RETRY,0.4349,2.0,541.45,59.31
FAIL_001337,PAY_008845,CUST_0521,SUB_0521,1196.46,BANK_DECLINED,friction_prone,WAIT_AND_RETRY,0.3727,2.0,443.93,53.49
FAIL_001673,PAY_011001,CUST_0647,SUB_0647,1055.34,NETWORK_ERROR,friction_prone,WAIT_AND_RETRY,0.5284,2.0,555.62,51.84
FAIL_001267,PAY_008319,CUST_0487,SUB_0487,15000.0,BANK_DECLINED,high_value_loyal,WAIT_AND_RETRY,0.4908,2.0,7360.45,720.43
FAIL_002078,PAY_013235,CUST_0774,SUB_0774,281.45,INSUFFICIENT_FUNDS,low_engagement,WAIT_AND_RETRY,0.4002,2.0,110.64,13.74
FAIL_001231,PAY_008144,CUST_0477,SUB_0477,580.5,BANK_DECLINED,friction_prone,WAIT_AND_RETRY,0.3765,2.0,216.58,26.59
FAIL_000511,PAY_003453,CUST_0202,SUB_0202,324.57,INSUFFICIENT_FUNDS,low_engagement,WAIT_AND_RETRY,0.3875,2.0,123.76,15.5
FAIL_001286,PAY_008435,CUST_0493,SUB_0493,489.64,CARD_EXPIRED,low_engagement,WAIT_AND_RETRY,0.3353,2.0,162.17,21.34
FAIL_001353,PAY_008952,CUST_0527,SUB_0527,633.24,LIMIT_EXCEEDED,friction_prone,WAIT_AND_RETRY,0.343,2.0,215.22,27.63
FAIL_000287,PAY_001842,CUST_0113,SUB_0113,324.58,AUTHENTICATION_FAILED,low_engagement,WAIT_AND_RETRY,0.3626,2.0,115.68,15.05
FAIL_001767,PAY_011583,CUST_0680,SUB_0680,1595.24,INSUFFICIENT_FUNDS,friction_prone,WAIT_AND_RETRY,0.4349,2.0,691.82,75.44
FAIL_001492,PAY_009805,CUST_0580,SUB_0580,1096.45,BANK_DECLINED,low_engagement,WAIT_AND_RETRY,0.348,2.0,379.61,47.47
FAIL_000808,PAY_005504,CUST_0333,SUB_0333,1523.74,INSUFFICIENT_FUNDS,friction_prone,WAIT_AND_RETRY,0.4236,2.0,643.42,71.49
FAIL_002206,PAY_014079,CUST_0823,SUB_0823,10550.69,BANK_DECLINED,high_value_loyal,WAIT_AND_RETRY,0.4842,2.0,5106.94,506.06
FAIL_002130,PAY_013614,CUST_0795,SUB_0795,408.24,AUTHENTICATION_FAILED,low_engagement,WAIT_AND_RETRY,0.3566,2.0,143.59,18.52
