audit_id,outcome_timestamp,execution_id,decision_id,failure_id,customer_id,subscription_id,amount,failure_reason,candidate_action,estimated_recovery_probability,expected_gross_recovery,intervention_cost,expected_net_recovery,policy_result,policy_reason,policy_checks,execution_result,execution_status,execution_reason,outcome_status,recovered,actual_recovered_amount,outcome_reason
AUD_0F305A14BCD4,2026-09-02T04:35:29.439806+00:00,EXE_000001_6EB70D76,DEC_000001,FAIL_000301,CUST_0119,SUB_0119,15000.0,LIMIT_EXCEEDED,UPDATE_PAYMENT_METHOD,0.9205904462703752,13808.856694055628,3.0,13805.856694055628,ALLOW,Recovery recommendation passed all deterministic policy and safety checks.,PASS: valid recovery action | PASS: expected net value above threshold | PASS: recovery probability valid | PASS: high-value confidence requirement | PASS: Payment-method update is permitted as an alternative recovery path.,UPDATE_PAYMENT_METHOD,EXECUTED_SIMULATION,Action passed deterministic policy controls and was executed in the RecoveryOS test environment.,RECOVERED,True,15000.0,Simulated payment recovery succeeded after the executed intervention.
AUD_6AF9BEB0CAA3,2026-09-02T04:35:29.439806+00:00,EXE_000002_73DE7F95,DEC_000002,FAIL_000450,CUST_0171,SUB_0171,14917.0,NETWORK_ERROR,RETRY_NOW,0.9224601742413324,13760.338419157952,2.0,13758.338419157952,ALLOW,Recovery recommendation passed all deterministic policy and safety checks.,PASS: valid recovery action | PASS: expected net value above threshold | PASS: recovery probability valid | PASS: high-value confidence requirement | PASS: retry action within maximum 2 attempts | PASS: Direct retry is permitted under bounded policy.,RETRY_NOW,EXECUTED_SIMULATION,Action passed deterministic policy controls and was executed in the RecoveryOS test environment.,RECOVERED,True,14917.0,Simulated payment recovery succeeded after the executed intervention.
AUD_D664CE0CF744,2026-09-02T04:35:29.439806+00:00,EXE_000003_E35E5798,DEC_000003,FAIL_000443,CUST_0169,SUB_0169,14872.16,NETWORK_ERROR,RETRY_NOW,0.9042269937480304,13447.808527339706,2.0,13445.808527339706,ALLOW,Recovery recommendation passed all deterministic policy and safety checks.,PASS: valid recovery action | PASS: expected net value above threshold | PASS: recovery probability valid | PASS: high-value confidence requirement | PASS: retry action within maximum 2 attempts | PASS: Direct retry is permitted under bounded policy.,RETRY_NOW,EXECUTED_SIMULATION,Action passed deterministic policy controls and was executed in the RecoveryOS test environment.,RECOVERED,True,14872.16,Simulated payment recovery succeeded after the executed intervention.
AUD_24E01982D2AA,2026-09-02T04:35:29.440803+00:00,EXE_000004_AE0D35BD,DEC_000004,FAIL_001296,CUST_0494,SUB_0494,14846.24,NETWORK_ERROR,RETRY_NOW,0.8777637465548183,13031.491244652005,2.0,13029.491244652005,ALLOW,Recovery recommendation passed all deterministic policy and safety checks.,PASS: valid recovery action | PASS: expected net value above threshold | PASS: recovery probability valid | PASS: high-value confidence requirement | PASS: retry action within maximum 2 attempts | PASS: Direct retry is permitted under bounded policy.,RETRY_NOW,EXECUTED_SIMULATION,Action passed deterministic policy controls and was executed in the RecoveryOS test environment.,RECOVERED,True,14846.24,Simulated payment recovery succeeded after the executed intervention.
AUD_012FF6E3CC6F,2026-09-02T04:35:29.440803+00:00,EXE_000005_DAF182C2,DEC_000005,FAIL_000298,CUST_0119,SUB_0119,15000.0,INSUFFICIENT_FUNDS,PAYMENT_LINK,0.8333248119597095,12499.872179395645,3.0,12496.872179395645,ALLOW,Recovery recommendation passed all deterministic policy and safety checks.,PASS: valid recovery action | PASS: expected net value above threshold | PASS: recovery probability valid | PASS: high-value confidence requirement | PASS: Payment link is permitted as an alternative recovery path.,PAYMENT_LINK,EXECUTED_SIMULATION,Action passed deterministic policy controls and was executed in the RecoveryOS test environment.,RECOVERED,True,15000.0,Simulated payment recovery succeeded after the executed intervention.
AUD_FFABA335D9C9,2026-09-02T04:35:29.440803+00:00,EXE_000006_BFAB7471,DEC_000006,FAIL_000299,CUST_0119,SUB_0119,15000.0,INSUFFICIENT_FUNDS,PAYMENT_LINK,0.8333248119597095,12499.872179395645,3.0,12496.872179395645,ALLOW,Recovery recommendation passed all deterministic policy and safety checks.,PASS: valid recovery action | PASS: expected net value above threshold | PASS: recovery probability valid | PASS: high-value confidence requirement | PASS: Payment link is permitted as an alternative recovery path.,PAYMENT_LINK,EXECUTED_SIMULATION,Action passed deterministic policy controls and was executed in the RecoveryOS test environment.,RECOVERED,True,15000.0,Simulated payment recovery succeeded after the executed intervention.
AUD_95E5F4CD8B77,2026-09-02T04:35:29.440803+00:00,EXE_000007_A26B6BEA,DEC_000007,FAIL_000080,CUST_0026,SUB_0026,15000.0,INSUFFICIENT_FUNDS,PAYMENT_LINK,0.82757160841332,12413.5741261998,3.0,12410.5741261998,ALLOW,Recovery recommendation passed all deterministic policy and safety checks.,PASS: valid recovery action | PASS: expected net value above threshold | PASS: recovery probability valid | PASS: high-value confidence requirement | PASS: Payment link is permitted as an alternative recovery path.,PAYMENT_LINK,EXECUTED_SIMULATION,Action passed deterministic policy controls and was executed in the RecoveryOS test environment.,NOT_RECOVERED,False,0.0,"Simulated intervention completed, but the payment was not recovered."
AUD_DA373D4F785E,2026-09-02T04:35:29.441804+00:00,EXE_000008_10B0CD18,DEC_000008,FAIL_000102,CUST_0039,SUB_0039,13129.92,CARD_EXPIRED,UPDATE_PAYMENT_METHOD,0.939334390026096,12333.38539429144,3.0,12330.38539429144,ALLOW,Recovery recommendation passed all deterministic policy and safety checks.,PASS: valid recovery action | PASS: expected net value above threshold | PASS: recovery probability valid | PASS: expired-card action is compatible | PASS: high-value confidence requirement | PASS: Payment-method update is permitted as an alternative recovery path.,UPDATE_PAYMENT_METHOD,EXECUTED_SIMULATION,Action passed deterministic policy controls and was executed in the RecoveryOS test environment.,RECOVERED,True,13129.92,Simulated payment recovery succeeded after the executed intervention.
AUD_8D8B777293B6,2026-09-02T04:35:29.441804+00:00,EXE_000009_E4455929,DEC_000009,FAIL_000103,CUST_0039,SUB_0039,13129.92,CARD_EXPIRED,UPDATE_PAYMENT_METHOD,0.939334390026096,12333.38539429144,3.0,12330.38539429144,ALLOW,Recovery recommendation passed all deterministic policy and safety checks.,PASS: valid recovery action | PASS: expected net value above threshold | PASS: recovery probability valid | PASS: expired-card action is compatible | PASS: high-value confidence requirement | PASS: Payment-method update is permitted as an alternative recovery path.,UPDATE_PAYMENT_METHOD,EXECUTED_SIMULATION,Action passed deterministic policy controls and was executed in the RecoveryOS test environment.,RECOVERED,True,13129.92,Simulated payment recovery succeeded after the executed intervention.
AUD_294481759BE1,2026-09-02T04:35:29.441804+00:00,EXE_000010_7701E46A,DEC_000010,FAIL_000762,CUST_0312,SUB_0312,13871.79,NETWORK_ERROR,WAIT_AND_RETRY,0.8797088683614944,12203.136683048297,2.0,12201.136683048297,ALLOW,Recovery recommendation passed all deterministic policy and safety checks.,PASS: valid recovery action | PASS: expected net value above threshold | PASS: recovery probability valid | PASS: high-value confidence requirement | PASS: Delayed retry is permitted under bounded policy.,WAIT_AND_RETRY,EXECUTED_SIMULATION,Action passed deterministic policy controls and was executed in the RecoveryOS test environment.,RECOVERED,True,13871.79,Simulated payment recovery succeeded after the executed intervention.
