payment_id,subscription_id,customer_id,payment_date,amount,payment_status,attempt_number
PAY_000001,SUB_0001,CUST_0001,2026-07-06,1904.0,SUCCESS,1
PAY_000002,SUB_0002,CUST_0002,2026-03-11,492.77,SUCCESS,1
PAY_000003,SUB_0002,CUST_0002,2026-04-10,492.77,SUCCESS,1
PAY_000004,SUB_0002,CUST_0002,2026-05-10,492.77,SUCCESS,1
PAY_000005,SUB_0002,CUST_0002,2026-06-09,492.77,SUCCESS,1
PAY_000006,SUB_0002,CUST_0002,2026-07-09,492.77,SUCCESS,1
PAY_000007,SUB_0003,CUST_0003,2025-12-20,337.62,SUCCESS,1
PAY_000008,SUB_0003,CUST_0003,2026-01-19,337.62,SUCCESS,1
PAY_000009,SUB_0003,CUST_0003,2026-02-18,337.62,SUCCESS,1
PAY_000010,SUB_0003,CUST_0003,2026-03-20,337.62,SUCCESS,1
PAY_000011,SUB_0003,CUST_0003,2026-04-19,337.62,SUCCESS,1
PAY_000012,SUB_0003,CUST_0003,2026-05-19,337.62,SUCCESS,1
PAY_000013,SUB_0003,CUST_0003,2026-06-18,337.62,SUCCESS,1
PAY_000014,SUB_0003,CUST_0003,2026-07-18,337.62,SUCCESS,1
PAY_000015,SUB_0004,CUST_0004,2024-08-16,406.32,SUCCESS,1
PAY_000016,SUB_0004,CUST_0004,2024-09-15,406.32,SUCCESS,1
PAY_000017,SUB_0004,CUST_0004,2024-10-15,406.32,SUCCESS,1
PAY_000018,SUB_0004,CUST_0004,2024-11-14,406.32,SUCCESS,1
PAY_000019,SUB_0004,CUST_0004,2024-12-14,406.32,SUCCESS,1
PAY_000020,SUB_0004,CUST_0004,2025-01-13,406.32,SUCCESS,1
PAY_000021,SUB_0004,CUST_0004,2025-02-12,406.32,SUCCESS,1
PAY_000022,SUB_0004,CUST_0004,2025-03-14,406.32,SUCCESS,1
PAY_000023,SUB_0004,CUST_0004,2025-04-13,406.32,SUCCESS,1
PAY_000024,SUB_0004,CUST_0004,2025-05-13,406.32,SUCCESS,1
PAY_000025,SUB_0004,CUST_0004,2025-06-12,406.32,FAILED,1
PAY_000026,SUB_0004,CUST_0004,2025-07-12,406.32,SUCCESS,1
PAY_000027,SUB_0004,CUST_0004,2025-08-11,406.32,SUCCESS,1
PAY_000028,SUB_0004,CUST_0004,2025-09-10,406.32,SUCCESS,1
PAY_000029,SUB_0004,CUST_0004,2025-10-10,406.32,FAILED,1
PAY_000030,SUB_0004,CUST_0004,2025-11-09,406.32,SUCCESS,1
PAY_000031,SUB_0004,CUST_0004,2025-12-09,406.32,SUCCESS,1
PAY_000032,SUB_0004,CUST_0004,2026-01-08,406.32,SUCCESS,1
PAY_000033,SUB_0004,CUST_0004,2026-02-07,406.32,SUCCESS,1
PAY_000034,SUB_0004,CUST_0004,2026-03-09,406.32,FAILED,1
PAY_000035,SUB_0004,CUST_0004,2026-04-08,406.32,SUCCESS,1
PAY_000036,SUB_0004,CUST_0004,2026-05-08,406.32,SUCCESS,1
PAY_000037,SUB_0004,CUST_0004,2026-06-07,406.32,SUCCESS,1
PAY_000038,SUB_0004,CUST_0004,2026-07-07,406.32,SUCCESS,1
PAY_000039,SUB_0005,CUST_0005,2025-10-20,6267.08,SUCCESS,1
PAY_000040,SUB_0005,CUST_0005,2025-11-19,6267.08,SUCCESS,1
PAY_000041,SUB_0005,CUST_0005,2025-12-19,6267.08,SUCCESS,1
PAY_000042,SUB_0005,CUST_0005,2026-01-18,6267.08,SUCCESS,1
PAY_000043,SUB_0005,CUST_0005,2026-02-17,6267.08,SUCCESS,1
PAY_000044,SUB_0005,CUST_0005,2026-03-19,6267.08,SUCCESS,1
PAY_000045,SUB_0005,CUST_0005,2026-04-18,6267.08,SUCCESS,1
PAY_000046,SUB_0005,CUST_0005,2026-05-18,6267.08,SUCCESS,1
PAY_000047,SUB_0005,CUST_0005,2026-06-17,6267.08,SUCCESS,1
PAY_000048,SUB_0005,CUST_0005,2026-07-17,6267.08,SUCCESS,1
PAY_000049,SUB_0006,CUST_0006,2025-04-14,1013.11,SUCCESS,1
PAY_000050,SUB_0006,CUST_0006,2025-05-14,1013.11,SUCCESS,1
PAY_000051,SUB_0006,CUST_0006,2025-06-13,1013.11,SUCCESS,1
PAY_000052,SUB_0006,CUST_0006,2025-07-13,1013.11,SUCCESS,1
PAY_000053,SUB_0006,CUST_0006,2025-08-12,1013.11,SUCCESS,1
PAY_000054,SUB_0006,CUST_0006,2025-09-11,1013.11,FAILED,1
PAY_000055,SUB_0006,CUST_0006,2025-10-11,1013.11,SUCCESS,1
PAY_000056,SUB_0006,CUST_0006,2025-11-10,1013.11,SUCCESS,1
PAY_000057,SUB_0006,CUST_0006,2025-12-10,1013.11,SUCCESS,1
PAY_000058,SUB_0006,CUST_0006,2026-01-09,1013.11,SUCCESS,1
PAY_000059,SUB_0006,CUST_0006,2026-02-08,1013.11,SUCCESS,1
PAY_000060,SUB_0006,CUST_0006,2026-03-10,1013.11,SUCCESS,1
PAY_000061,SUB_0006,CUST_0006,2026-04-09,1013.11,FAILED,1
PAY_000062,SUB_0006,CUST_0006,2026-05-09,1013.11,SUCCESS,1
PAY_000063,SUB_0006,CUST_0006,2026-06-08,1013.11,SUCCESS,1
PAY_000064,SUB_0006,CUST_0006,2026-07-08,1013.11,SUCCESS,1
PAY_000065,SUB_0007,CUST_0007,2026-03-07,7726.04,SUCCESS,1
PAY_000066,SUB_0007,CUST_0007,2026-04-06,7726.04,SUCCESS,1
PAY_000067,SUB_0007,CUST_0007,2026-05-06,7726.04,SUCCESS,1
PAY_000068,SUB_0007,CUST_0007,2026-06-05,7726.04,SUCCESS,1
PAY_000069,SUB_0007,CUST_0007,2026-07-05,7726.04,SUCCESS,1
PAY_000070,SUB_0008,CUST_0008,2025-07-26,11574.78,SUCCESS,1
PAY_000071,SUB_0008,CUST_0008,2025-08-25,11574.78,SUCCESS,1
PAY_000072,SUB_0008,CUST_0008,2025-09-24,11574.78,FAILED,1
PAY_000073,SUB_0008,CUST_0008,2025-10-24,11574.78,FAILED,1
PAY_000074,SUB_0008,CUST_0008,2025-11-23,11574.78,SUCCESS,1
PAY_000075,SUB_0008,CUST_0008,2025-12-23,11574.78,SUCCESS,1
PAY_000076,SUB_0008,CUST_0008,2026-01-22,11574.78,SUCCESS,1
PAY_000077,SUB_0008,CUST_0008,2026-02-21,11574.78,FAILED,1
PAY_000078,SUB_0008,CUST_0008,2026-03-23,11574.78,SUCCESS,1
PAY_000079,SUB_0008,CUST_0008,2026-04-22,11574.78,SUCCESS,1
PAY_000080,SUB_0008,CUST_0008,2026-05-22,11574.78,SUCCESS,1
PAY_000081,SUB_0008,CUST_0008,2026-06-21,11574.78,SUCCESS,1
PAY_000082,SUB_0008,CUST_0008,2026-07-21,11574.78,SUCCESS,1
PAY_000083,SUB_0009,CUST_0009,2024-09-03,2904.8,SUCCESS,1
PAY_000084,SUB_0009,CUST_0009,2024-10-03,2904.8,SUCCESS,1
PAY_000085,SUB_0009,CUST_0009,2024-11-02,2904.8,SUCCESS,1
PAY_000086,SUB_0009,CUST_0009,2024-12-02,2904.8,SUCCESS,1
PAY_000087,SUB_0009,CUST_0009,2025-01-01,2904.8,FAILED,1
PAY_000088,SUB_0009,CUST_0009,2025-01-31,2904.8,SUCCESS,1
PAY_000089,SUB_0009,CUST_0009,2025-03-02,2904.8,SUCCESS,1
PAY_000090,SUB_0009,CUST_0009,2025-04-01,2904.8,SUCCESS,1
PAY_000091,SUB_0009,CUST_0009,2025-05-01,2904.8,SUCCESS,1
PAY_000092,SUB_0009,CUST_0009,2025-05-31,2904.8,SUCCESS,1
PAY_000093,SUB_0009,CUST_0009,2025-06-30,2904.8,SUCCESS,1
PAY_000094,SUB_0009,CUST_0009,2025-07-30,2904.8,SUCCESS,1
PAY_000095,SUB_0009,CUST_0009,2025-08-29,2904.8,SUCCESS,1
PAY_000096,SUB_0009,CUST_0009,2025-09-28,2904.8,SUCCESS,1
PAY_000097,SUB_0009,CUST_0009,2025-10-28,2904.8,FAILED,1
PAY_000098,SUB_0009,CUST_0009,2025-11-27,2904.8,SUCCESS,1
PAY_000099,SUB_0009,CUST_0009,2025-12-27,2904.8,FAILED,1
PAY_000100,SUB_0009,CUST_0009,2026-01-26,2904.8,SUCCESS,1
PAY_000101,SUB_0009,CUST_0009,2026-02-25,2904.8,SUCCESS,1
PAY_000102,SUB_0009,CUST_0009,2026-03-27,2904.8,SUCCESS,1
PAY_000103,SUB_0009,CUST_0009,2026-04-26,2904.8,SUCCESS,1
PAY_000104,SUB_0009,CUST_0009,2026-05-26,2904.8,SUCCESS,1
PAY_000105,SUB_0009,CUST_0009,2026-06-25,2904.8,SUCCESS,1
PAY_000106,SUB_0009,CUST_0009,2026-07-25,2904.8,SUCCESS,1
PAY_000107,SUB_0010,CUST_0010,2026-07-12,7957.62,SUCCESS,1
PAY_000108,SUB_0011,CUST_0011,2025-11-28,1603.39,SUCCESS,1
PAY_000109,SUB_0011,CUST_0011,2025-12-28,1603.39,SUCCESS,1
PAY_000110,SUB_0011,CUST_0011,2026-01-27,1603.39,FAILED,1
PAY_000111,SUB_0011,CUST_0011,2026-02-26,1603.39,FAILED,1
PAY_000112,SUB_0011,CUST_0011,2026-03-28,1603.39,SUCCESS,1
PAY_000113,SUB_0011,CUST_0011,2026-04-27,1603.39,SUCCESS,1
PAY_000114,SUB_0011,CUST_0011,2026-05-27,1603.39,SUCCESS,1
