portfolio_rank,selected,failure_id,customer_id,subscription_id,amount,failure_reason,behavior_profile,candidate_action,estimated_recovery_probability,expected_gross_recovery,intervention_cost,expected_net_recovery
1,True,FAIL_000301,CUST_0119,SUB_0119,15000.0,LIMIT_EXCEEDED,high_value_loyal,UPDATE_PAYMENT_METHOD,0.9205904462703752,13808.856694055628,3.0,13805.856694055628
2,True,FAIL_000450,CUST_0171,SUB_0171,14917.0,NETWORK_ERROR,high_value_loyal,RETRY_NOW,0.9224601742413324,13760.338419157952,2.0,13758.338419157952
3,True,FAIL_000443,CUST_0169,SUB_0169,14872.16,NETWORK_ERROR,high_value_loyal,RETRY_NOW,0.9042269937480304,13447.808527339706,2.0,13445.808527339706
4,True,FAIL_001296,CUST_0494,SUB_0494,14846.24,NETWORK_ERROR,high_value_loyal,RETRY_NOW,0.8777637465548183,13031.491244652005,2.0,13029.491244652005
5,True,FAIL_000298,CUST_0119,SUB_0119,15000.0,INSUFFICIENT_FUNDS,high_value_loyal,PAYMENT_LINK,0.8333248119597095,12499.872179395645,3.0,12496.872179395645
6,True,FAIL_000299,CUST_0119,SUB_0119,15000.0,INSUFFICIENT_FUNDS,high_value_loyal,PAYMENT_LINK,0.8333248119597095,12499.872179395645,3.0,12496.872179395645
7,True,FAIL_000080,CUST_0026,SUB_0026,15000.0,INSUFFICIENT_FUNDS,high_value_loyal,PAYMENT_LINK,0.82757160841332,12413.5741261998,3.0,12410.5741261998
8,True,FAIL_000102,CUST_0039,SUB_0039,13129.92,CARD_EXPIRED,high_value_loyal,UPDATE_PAYMENT_METHOD,0.939334390026096,12333.38539429144,3.0,12330.38539429144
9,True,FAIL_000103,CUST_0039,SUB_0039,13129.92,CARD_EXPIRED,high_value_loyal,UPDATE_PAYMENT_METHOD,0.939334390026096,12333.38539429144,3.0,12330.38539429144
10,True,FAIL_000762,CUST_0312,SUB_0312,13871.79,NETWORK_ERROR,high_value_loyal,WAIT_AND_RETRY,0.8797088683614944,12203.136683048297,2.0,12201.136683048297
11,True,FAIL_000445,CUST_0169,SUB_0169,14872.16,LIMIT_EXCEEDED,high_value_loyal,PAYMENT_LINK,0.7911660629728501,11766.348275102302,3.0,11763.348275102302
12,True,FAIL_000448,CUST_0171,SUB_0171,14917.0,BANK_DECLINED,high_value_loyal,PAYMENT_LINK,0.7779407093694058,11604.541561663427,3.0,11601.541561663427
13,True,FAIL_001267,CUST_0487,SUB_0487,15000.0,BANK_DECLINED,high_value_loyal,PAYMENT_LINK,0.7505074661354796,11257.611992032194,3.0,11254.611992032194
14,True,FAIL_002438,CUST_0888,SUB_0888,14993.1,INSUFFICIENT_FUNDS,high_value_loyal,WAIT_AND_RETRY,0.7120931947275058,10676.484477868968,2.0,10674.484477868968
15,True,FAIL_002441,CUST_0888,SUB_0888,14993.1,INSUFFICIENT_FUNDS,high_value_loyal,WAIT_AND_RETRY,0.7120931947275058,10676.484477868968,2.0,10674.484477868968
16,True,FAIL_000543,CUST_0214,SUB_0214,12636.68,INSUFFICIENT_FUNDS,high_value_loyal,WAIT_AND_RETRY,0.8325255972790981,10520.359564624834,2.0,10518.359564624834
17,True,FAIL_000323,CUST_0128,SUB_0128,14456.27,AUTHENTICATION_FAILED,high_value_loyal,UPDATE_PAYMENT_METHOD,0.7198132172981075,10405.814218830114,3.0,10402.814218830114
18,True,FAIL_000172,CUST_0070,SUB_0070,11107.73,NETWORK_ERROR,high_value_loyal,WAIT_AND_RETRY,0.9187893554892383,10205.664087648478,2.0,10203.664087648478
19,True,FAIL_000318,CUST_0125,SUB_0125,10848.47,NETWORK_ERROR,high_value_loyal,WAIT_AND_RETRY,0.9062040425790188,9830.927369797206,2.0,9828.927369797206
20,True,FAIL_001553,CUST_0610,SUB_0610,11684.35,INSUFFICIENT_FUNDS,high_value_loyal,WAIT_AND_RETRY,0.832889192416069,9731.768835406696,2.0,9729.768835406696
21,True,FAIL_001555,CUST_0610,SUB_0610,11684.35,INSUFFICIENT_FUNDS,high_value_loyal,WAIT_AND_RETRY,0.832889192416069,9731.768835406696,2.0,9729.768835406696
22,True,FAIL_001557,CUST_0610,SUB_0610,11684.35,INSUFFICIENT_FUNDS,high_value_loyal,WAIT_AND_RETRY,0.832889192416069,9731.768835406696,2.0,9729.768835406696
23,True,FAIL_001530,CUST_0597,SUB_0597,12778.74,LIMIT_EXCEEDED,high_value_loyal,PAYMENT_LINK,0.73913010407715,9445.15142617484,3.0,9442.15142617484
24,True,FAIL_000837,CUST_0348,SUB_0348,10125.65,NETWORK_ERROR,high_value_loyal,RETRY_NOW,0.8931481474001279,9043.705538722104,2.0,9041.705538722104
25,True,FAIL_000242,CUST_0103,SUB_0103,10145.96,NETWORK_ERROR,high_value_loyal,RETRY_NOW,0.8762212271739539,8890.10552205785,2.0,8888.10552205785
26,True,FAIL_001621,CUST_0635,SUB_0635,13569.88,BANK_DECLINED,high_value_loyal,PAYMENT_LINK,0.6257200245772141,8490.945647109846,3.0,8487.945647109846
27,True,FAIL_002695,CUST_0967,SUB_0967,10771.74,BANK_DECLINED,high_value_loyal,WAIT_AND_RETRY,0.7661192547488221,8252.437421148077,2.0,8250.437421148077
28,True,FAIL_000575,CUST_0227,SUB_0227,9730.73,INSUFFICIENT_FUNDS,high_value_loyal,PAYMENT_LINK,0.8415486601585237,8188.882793864351,3.0,8185.882793864351
29,True,FAIL_000542,CUST_0214,SUB_0214,12636.68,LIMIT_EXCEEDED,high_value_loyal,PAYMENT_LINK,0.6262659914794235,7913.922929208202,3.0,7910.922929208202
30,True,FAIL_001373,CUST_0535,SUB_0535,11601.39,BANK_DECLINED,high_value_loyal,WAIT_AND_RETRY,0.6718193588849363,7794.038391974111,2.0,7792.038391974111
31,True,FAIL_001272,CUST_0489,SUB_0489,8583.5,NETWORK_ERROR,high_value_loyal,WAIT_AND_RETRY,0.9053226377459116,7770.836861092031,2.0,7768.836861092031
32,True,FAIL_002339,CUST_0863,SUB_0863,9301.15,AUTHENTICATION_FAILED,high_value_loyal,UPDATE_PAYMENT_METHOD,0.8274778970121329,7696.496041794399,3.0,7693.496041794399
33,True,FAIL_000087,CUST_0032,SUB_0032,10611.56,LIMIT_EXCEEDED,high_value_loyal,UPDATE_PAYMENT_METHOD,0.7197579988945391,7637.755190749334,3.0,7634.755190749334
34,True,FAIL_001718,CUST_0662,SUB_0662,8298.83,NETWORK_ERROR,high_value_loyal,RETRY_NOW,0.8979315801311331,7451.781535139651,2.0,7449.781535139651
35,True,FAIL_002215,CUST_0825,SUB_0825,8971.98,INSUFFICIENT_FUNDS,high_value_loyal,PAYMENT_LINK,0.8276411930749904,7425.580231444952,3.0,7422.580231444952
36,True,FAIL_000419,CUST_0161,SUB_0161,9716.42,LIMIT_EXCEEDED,high_value_loyal,PAYMENT_LINK,0.7622497895677913,7406.339100352279,3.0,7403.339100352279
37,True,FAIL_001456,CUST_0572,SUB_0572,12441.81,LIMIT_EXCEEDED,high_value_loyal,PAYMENT_LINK,0.5775189153601017,7185.380616316466,3.0,7182.380616316466
38,True,FAIL_000834,CUST_0348,SUB_0348,10125.65,BANK_DECLINED,high_value_loyal,PAYMENT_LINK,0.6919986758112654,7006.936391728339,3.0,7003.936391728339
39,True,FAIL_000097,CUST_0037,SUB_0037,9606.42,LIMIT_EXCEEDED,high_value_loyal,PAYMENT_LINK,0.7167137909072376,6885.053695247106,3.0,6882.053695247106
40,True,FAIL_002436,CUST_0887,SUB_0887,8464.41,BANK_DECLINED,high_value_loyal,PAYMENT_LINK,0.8097832181648478,6854.337169666719,3.0,6851.337169666719
41,True,FAIL_001361,CUST_0532,SUB_0532,8636.92,INSUFFICIENT_FUNDS,high_value_loyal,PAYMENT_LINK,0.7843994867912768,6774.795615457315,3.0,6771.795615457315
42,True,FAIL_000007,CUST_0008,SUB_0008,11574.78,LIMIT_EXCEEDED,high_value_loyal,UPDATE_PAYMENT_METHOD,0.5779330352047651,6689.447737227411,3.0,6686.447737227411
43,True,FAIL_002197,CUST_0816,SUB_0816,9124.45,BANK_DECLINED,high_value_loyal,PAYMENT_LINK,0.7120731237596143,6497.275614088413,3.0,6494.275614088413
44,True,FAIL_000726,CUST_0299,SUB_0299,8559.42,LIMIT_EXCEEDED,high_value_loyal,PAYMENT_LINK,0.7471198776136792,6394.912822844078,3.0,6391.912822844078
45,True,FAIL_000865,CUST_0356,SUB_0356,8418.6,INSUFFICIENT_FUNDS,high_value_loyal,WAIT_AND_RETRY,0.7589637588232157,6389.412300029124,2.0,6387.412300029124
46,True,FAIL_001719,CUST_0662,SUB_0662,8298.83,AUTHENTICATION_FAILED,high_value_loyal,UPDATE_PAYMENT_METHOD,0.7318351985149965,6073.375900492208,3.0,6070.375900492208
47,True,FAIL_000996,CUST_0400,SUB_0400,7063.31,INSUFFICIENT_FUNDS,high_value_loyal,PAYMENT_LINK,0.856704034151391,6051.166171461861,3.0,6048.166171461861
48,True,FAIL_002206,CUST_0823,SUB_0823,10550.69,BANK_DECLINED,high_value_loyal,SEND_REMINDER,0.5721887453084253,6036.98607323815,1.0,6035.98607323815
49,True,FAIL_000868,CUST_0356,SUB_0356,8418.6,BANK_DECLINED,high_value_loyal,PAYMENT_LINK,0.7157191340953456,6025.3531022950765,3.0,6022.3531022950765
50,True,FAIL_001409,CUST_0550,SUB_0550,7064.05,INSUFFICIENT_FUNDS,high_value_loyal,PAYMENT_LINK,0.7803604739573914,5512.505406058711,3.0,5509.505406058711
51,True,FAIL_000547,CUST_0215,SUB_0215,7312.97,LIMIT_EXCEEDED,high_value_loyal,PAYMENT_LINK,0.7381463121643156,5398.041836468276,3.0,5395.041836468276
52,True,FAIL_002499,CUST_0903,SUB_0903,5512.84,CARD_EXPIRED,high_value_loyal,UPDATE_PAYMENT_METHOD,0.939083649416764,5177.017905850714,3.0,5174.017905850714
53,True,FAIL_000981,CUST_0396,SUB_0396,5752.09,INSUFFICIENT_FUNDS,high_value_loyal,WAIT_AND_RETRY,0.7873062037211813,4528.6561413625695,2.0,4526.6561413625695
54,True,FAIL_000048,CUST_0021,SUB_0021,7397.62,BANK_DECLINED,high_value_loyal,UPDATE_PAYMENT_METHOD,0.5854985057169223,4331.295455861618,3.0,4328.295455861618
55,True,FAIL_000980,CUST_0396,SUB_0396,5752.09,BANK_DECLINED,high_value_loyal,PAYMENT_LINK,0.7371012407835277,4239.872676098522,3.0,4236.872676098522
56,True,FAIL_002772,CUST_0993,SUB_0993,6771.64,BANK_DECLINED,high_value_loyal,PAYMENT_LINK,0.5871089118229696,3975.6901916568954,3.0,3972.6901916568954
57,True,FAIL_002501,CUST_0904,SUB_0904,3422.48,CARD_EXPIRED,normal,UPDATE_PAYMENT_METHOD,0.8930571413434154,3056.470205105012,3.0,3053.470205105012
58,True,FAIL_002260,CUST_0842,SUB_0842,5745.9,BANK_DECLINED,high_value_loyal,WAIT_AND_RETRY,0.5284431118472696,3036.381276363226,2.0,3034.381276363226
59,True,FAIL_001141,CUST_0458,SUB_0458,3086.94,CARD_EXPIRED,normal,UPDATE_PAYMENT_METHOD,0.8692507260901022,2683.3248363965804,3.0,2680.3248363965804
60,True,FAIL_001329,CUST_0512,SUB_0512,2720.0,CARD_EXPIRED,reliable,UPDATE_PAYMENT_METHOD,0.895290225290505,2435.1894127901733,3.0,2432.1894127901733
61,True,FAIL_001240,CUST_0481,SUB_0481,3208.7,INSUFFICIENT_FUNDS,high_value_loyal,WAIT_AND_RETRY,0.7478391598133202,2399.5915120930003,2.0,2397.5915120930003
62,True,FAIL_001144,CUST_0458,SUB_0458,3086.94,BANK_DECLINED,normal,PAYMENT_LINK,0.7446567302367028,2298.7106468368875,3.0,2295.7106468368875
