experience_id,failure_id,payment_id,customer_id,subscription_id,amount,failure_reason,account_age_days,successful_payments,failed_payments,total_payments,payment_success_rate,historical_recovery_rate,engagement_score,behavior_profile,action_taken,action_cost,recovered,recovered_amount,net_value
EXP_0000001,FAIL_000001,PAY_000025,CUST_0004,SUB_0004,406.32,NETWORK_ERROR,744,20,4,24,0.8333,0.6,0.6,normal,PAYMENT_LINK,3.0,0,0.0,-3.0
EXP_0000002,FAIL_000001,PAY_000025,CUST_0004,SUB_0004,406.32,NETWORK_ERROR,744,20,4,24,0.8333,0.6,0.6,normal,WAIT_AND_RETRY,2.0,1,406.32,404.32
EXP_0000003,FAIL_000001,PAY_000025,CUST_0004,SUB_0004,406.32,NETWORK_ERROR,744,20,4,24,0.8333,0.6,0.6,normal,WAIT_AND_RETRY,2.0,1,406.32,404.32
EXP_0000004,FAIL_000001,PAY_000025,CUST_0004,SUB_0004,406.32,NETWORK_ERROR,744,20,4,24,0.8333,0.6,0.6,normal,UPDATE_PAYMENT_METHOD,3.0,0,0.0,-3.0
EXP_0000005,FAIL_000001,PAY_000025,CUST_0004,SUB_0004,406.32,NETWORK_ERROR,744,20,4,24,0.8333,0.6,0.6,normal,SEND_REMINDER,1.0,0,0.0,-1.0
EXP_0000006,FAIL_000001,PAY_000025,CUST_0004,SUB_0004,406.32,NETWORK_ERROR,744,20,4,24,0.8333,0.6,0.6,normal,PAYMENT_LINK,3.0,0,0.0,-3.0
EXP_0000007,FAIL_000001,PAY_000025,CUST_0004,SUB_0004,406.32,NETWORK_ERROR,744,20,4,24,0.8333,0.6,0.6,normal,UPDATE_PAYMENT_METHOD,3.0,0,0.0,-3.0
EXP_0000008,FAIL_000001,PAY_000025,CUST_0004,SUB_0004,406.32,NETWORK_ERROR,744,20,4,24,0.8333,0.6,0.6,normal,SEND_REMINDER,1.0,0,0.0,-1.0
EXP_0000009,FAIL_000001,PAY_000025,CUST_0004,SUB_0004,406.32,NETWORK_ERROR,744,20,4,24,0.8333,0.6,0.6,normal,RETRY_NOW,2.0,1,406.32,404.32
EXP_0000010,FAIL_000001,PAY_000025,CUST_0004,SUB_0004,406.32,NETWORK_ERROR,744,20,4,24,0.8333,0.6,0.6,normal,RETRY_NOW,2.0,1,406.32,404.32
EXP_0000011,FAIL_000002,PAY_000029,CUST_0004,SUB_0004,406.32,INSUFFICIENT_FUNDS,744,20,4,24,0.8333,0.6,0.6,normal,RETRY_NOW,2.0,0,0.0,-2.0
EXP_0000012,FAIL_000002,PAY_000029,CUST_0004,SUB_0004,406.32,INSUFFICIENT_FUNDS,744,20,4,24,0.8333,0.6,0.6,normal,PAYMENT_LINK,3.0,1,406.32,403.32
EXP_0000013,FAIL_000002,PAY_000029,CUST_0004,SUB_0004,406.32,INSUFFICIENT_FUNDS,744,20,4,24,0.8333,0.6,0.6,normal,UPDATE_PAYMENT_METHOD,3.0,1,406.32,403.32
EXP_0000014,FAIL_000002,PAY_000029,CUST_0004,SUB_0004,406.32,INSUFFICIENT_FUNDS,744,20,4,24,0.8333,0.6,0.6,normal,UPDATE_PAYMENT_METHOD,3.0,1,406.32,403.32
EXP_0000015,FAIL_000002,PAY_000029,CUST_0004,SUB_0004,406.32,INSUFFICIENT_FUNDS,744,20,4,24,0.8333,0.6,0.6,normal,PAYMENT_LINK,3.0,0,0.0,-3.0
EXP_0000016,FAIL_000002,PAY_000029,CUST_0004,SUB_0004,406.32,INSUFFICIENT_FUNDS,744,20,4,24,0.8333,0.6,0.6,normal,WAIT_AND_RETRY,2.0,0,0.0,-2.0
EXP_0000017,FAIL_000002,PAY_000029,CUST_0004,SUB_0004,406.32,INSUFFICIENT_FUNDS,744,20,4,24,0.8333,0.6,0.6,normal,SEND_REMINDER,1.0,0,0.0,-1.0
EXP_0000018,FAIL_000002,PAY_000029,CUST_0004,SUB_0004,406.32,INSUFFICIENT_FUNDS,744,20,4,24,0.8333,0.6,0.6,normal,WAIT_AND_RETRY,2.0,0,0.0,-2.0
EXP_0000019,FAIL_000002,PAY_000029,CUST_0004,SUB_0004,406.32,INSUFFICIENT_FUNDS,744,20,4,24,0.8333,0.6,0.6,normal,RETRY_NOW,2.0,0,0.0,-2.0
EXP_0000020,FAIL_000002,PAY_000029,CUST_0004,SUB_0004,406.32,INSUFFICIENT_FUNDS,744,20,4,24,0.8333,0.6,0.6,normal,SEND_REMINDER,1.0,0,0.0,-1.0
EXP_0000021,FAIL_000003,PAY_000034,CUST_0004,SUB_0004,406.32,INSUFFICIENT_FUNDS,744,20,4,24,0.8333,0.6,0.6,normal,UPDATE_PAYMENT_METHOD,3.0,0,0.0,-3.0
EXP_0000022,FAIL_000003,PAY_000034,CUST_0004,SUB_0004,406.32,INSUFFICIENT_FUNDS,744,20,4,24,0.8333,0.6,0.6,normal,RETRY_NOW,2.0,1,406.32,404.32
EXP_0000023,FAIL_000003,PAY_000034,CUST_0004,SUB_0004,406.32,INSUFFICIENT_FUNDS,744,20,4,24,0.8333,0.6,0.6,normal,WAIT_AND_RETRY,2.0,1,406.32,404.32
