failure_id,payment_id,customer_id,subscription_id,failure_reason,retry_now_probability,wait_and_retry_probability,send_reminder_probability,payment_link_probability,update_payment_method_probability,no_action_probability
FAIL_000001,PAY_000025,CUST_0004,SUB_0004,NETWORK_ERROR,0.85,0.7,0.262,0.312,0.112,0.0
FAIL_000002,PAY_000029,CUST_0004,SUB_0004,INSUFFICIENT_FUNDS,0.2,0.6,0.362,0.462,0.162,0.0
FAIL_000003,PAY_000034,CUST_0004,SUB_0004,INSUFFICIENT_FUNDS,0.2,0.6,0.362,0.462,0.162,0.0
FAIL_000004,PAY_000054,CUST_0006,SUB_0006,INSUFFICIENT_FUNDS,0.2,0.6,0.362,0.462,0.162,0.0
FAIL_000005,PAY_000061,CUST_0006,SUB_0006,NETWORK_ERROR,0.85,0.7,0.262,0.312,0.112,0.0
FAIL_000006,PAY_000072,CUST_0008,SUB_0008,CARD_EXPIRED,0.0676,0.0676,0.2656,0.4456,0.8956,0.0
FAIL_000007,PAY_000073,CUST_0008,SUB_0008,LIMIT_EXCEEDED,0.1176,0.2676,0.2656,0.6456,0.4456,0.0
FAIL_000008,PAY_000077,CUST_0008,SUB_0008,INSUFFICIENT_FUNDS,0.2176,0.6176,0.4156,0.5456,0.2456,0.0
FAIL_000009,PAY_000087,CUST_0009,SUB_0009,BANK_DECLINED,0.246,0.546,0.308,0.458,0.258,0.0
FAIL_000010,PAY_000097,CUST_0009,SUB_0009,INSUFFICIENT_FUNDS,0.246,0.646,0.408,0.508,0.208,0.0
FAIL_000011,PAY_000099,CUST_0009,SUB_0009,INSUFFICIENT_FUNDS,0.246,0.646,0.408,0.508,0.208,0.0
FAIL_000012,PAY_000110,CUST_0011,SUB_0011,BANK_DECLINED,0.14,0.44,0.224,0.374,0.174,0.0
FAIL_000013,PAY_000111,CUST_0011,SUB_0011,INSUFFICIENT_FUNDS,0.14,0.54,0.324,0.424,0.124,0.0
FAIL_000014,PAY_000115,CUST_0011,SUB_0011,INSUFFICIENT_FUNDS,0.14,0.54,0.324,0.424,0.124,0.0
FAIL_000015,PAY_000116,CUST_0011,SUB_0011,BANK_DECLINED,0.14,0.44,0.224,0.374,0.174,0.0
FAIL_000016,PAY_000128,CUST_0013,SUB_0013,BANK_DECLINED,0.14,0.44,0.224,0.374,0.174,0.0
FAIL_000017,PAY_000129,CUST_0013,SUB_0013,INSUFFICIENT_FUNDS,0.14,0.54,0.324,0.424,0.124,0.0
FAIL_000018,PAY_000133,CUST_0013,SUB_0013,BANK_DECLINED,0.14,0.44,0.224,0.374,0.174,0.0
FAIL_000019,PAY_000134,CUST_0013,SUB_0013,CARD_EXPIRED,0.01,0.01,0.174,0.324,0.774,0.0
FAIL_000020,PAY_000151,CUST_0014,SUB_0014,INSUFFICIENT_FUNDS,0.246,0.646,0.408,0.508,0.208,0.0
FAIL_000021,PAY_000164,CUST_0015,SUB_0015,CARD_EXPIRED,0.01,0.01,0.174,0.324,0.774,0.0
FAIL_000022,PAY_000165,CUST_0015,SUB_0015,NETWORK_ERROR,0.79,0.64,0.224,0.274,0.074,0.0
FAIL_000023,PAY_000168,CUST_0015,SUB_0015,INSUFFICIENT_FUNDS,0.14,0.54,0.324,0.424,0.124,0.0
FAIL_000024,PAY_000171,CUST_0015,SUB_0015,INSUFFICIENT_FUNDS,0.14,0.54,0.324,0.424,0.124,0.0
FAIL_000025,PAY_000174,CUST_0015,SUB_0015,LIMIT_EXCEEDED,0.04,0.19,0.174,0.524,0.324,0.0
FAIL_000026,PAY_000175,CUST_0015,SUB_0015,INSUFFICIENT_FUNDS,0.14,0.54,0.324,0.424,0.124,0.0
FAIL_000027,PAY_000181,CUST_0015,SUB_0015,INSUFFICIENT_FUNDS,0.14,0.54,0.324,0.424,0.124,0.0
FAIL_000028,PAY_000182,CUST_0015,SUB_0015,INSUFFICIENT_FUNDS,0.14,0.54,0.324,0.424,0.124,0.0
FAIL_000029,PAY_000194,CUST_0017,SUB_0017,AUTHENTICATION_FAILED,0.026,0.076,0.246,0.346,0.546,0.0
FAIL_000030,PAY_000196,CUST_0017,SUB_0017,NETWORK_ERROR,0.826,0.676,0.146,0.196,0.01,0.0
FAIL_000031,PAY_000199,CUST_0017,SUB_0017,AUTHENTICATION_FAILED,0.026,0.076,0.246,0.346,0.546,0.0
FAIL_000032,PAY_000200,CUST_0017,SUB_0017,CARD_EXPIRED,0.026,0.026,0.096,0.246,0.696,0.0
FAIL_000033,PAY_000201,CUST_0017,SUB_0017,NETWORK_ERROR,0.826,0.676,0.146,0.196,0.01,0.0
FAIL_000034,PAY_000202,CUST_0017,SUB_0017,LIMIT_EXCEEDED,0.076,0.226,0.096,0.446,0.246,0.0
FAIL_000035,PAY_000203,CUST_0017,SUB_0017,BANK_DECLINED,0.176,0.476,0.146,0.296,0.096,0.0
FAIL_000036,PAY_000210,CUST_0018,SUB_0018,BANK_DECLINED,0.14,0.44,0.224,0.374,0.174,0.0
FAIL_000037,PAY_000215,CUST_0019,SUB_0019,CARD_EXPIRED,0.096,0.096,0.258,0.408,0.858,0.0
FAIL_000038,PAY_000216,CUST_0019,SUB_0019,NETWORK_ERROR,0.896,0.746,0.308,0.358,0.158,0.0
FAIL_000039,PAY_000221,CUST_0019,SUB_0019,AUTHENTICATION_FAILED,0.096,0.146,0.408,0.508,0.708,0.0
FAIL_000040,PAY_000230,CUST_0020,SUB_0020,BANK_DECLINED,0.14,0.44,0.224,0.374,0.174,0.0
FAIL_000041,PAY_000237,CUST_0020,SUB_0020,NETWORK_ERROR,0.79,0.64,0.224,0.274,0.074,0.0
FAIL_000042,PAY_000244,CUST_0020,SUB_0020,INSUFFICIENT_FUNDS,0.14,0.54,0.324,0.424,0.124,0.0
FAIL_000043,PAY_000252,CUST_0020,SUB_0020,INSUFFICIENT_FUNDS,0.14,0.54,0.324,0.424,0.124,0.0
FAIL_000044,PAY_000255,CUST_0020,SUB_0020,INSUFFICIENT_FUNDS,0.14,0.54,0.324,0.424,0.124,0.0
FAIL_000045,PAY_000256,CUST_0020,SUB_0020,INSUFFICIENT_FUNDS,0.14,0.54,0.324,0.424,0.124,0.0
FAIL_000046,PAY_000260,CUST_0020,SUB_0020,INSUFFICIENT_FUNDS,0.14,0.54,0.324,0.424,0.124,0.0
FAIL_000047,PAY_000261,CUST_0021,SUB_0021,INSUFFICIENT_FUNDS,0.2176,0.6176,0.4156,0.5456,0.2456,0.0
