subscription_id,customer_id,plan,monthly_amount,billing_interval,start_date,next_billing_date,status
SUB_0001,CUST_0001,pro,1904.0,monthly,2026-07-06,2026-09-04,active
SUB_0002,CUST_0002,pro,492.77,monthly,2026-03-11,2026-09-07,active
SUB_0003,CUST_0003,starter,337.62,monthly,2025-12-20,2026-09-16,active
SUB_0004,CUST_0004,starter,406.32,monthly,2024-08-16,2026-09-05,active
SUB_0005,CUST_0005,pro,6267.08,monthly,2025-10-20,2026-09-15,active
SUB_0006,CUST_0006,growth,1013.11,monthly,2025-04-14,2026-09-06,active
SUB_0007,CUST_0007,growth,7726.04,monthly,2026-03-07,2026-09-03,active
SUB_0008,CUST_0008,pro,11574.78,monthly,2025-07-26,2026-09-19,active
SUB_0009,CUST_0009,pro,2904.8,monthly,2024-09-03,2026-09-23,active
SUB_0010,CUST_0010,pro,7957.62,monthly,2026-07-12,2026-09-10,active
SUB_0011,CUST_0011,pro,1603.39,monthly,2025-11-28,2026-09-24,active
SUB_0012,CUST_0012,growth,487.43,monthly,2026-02-12,2026-09-10,active
SUB_0013,CUST_0013,starter,709.07,monthly,2025-06-18,2026-09-11,active
SUB_0014,CUST_0014,growth,2172.96,monthly,2025-02-20,2026-09-13,active
SUB_0015,CUST_0015,starter,1187.03,monthly,2024-05-03,2026-09-20,active
SUB_0016,CUST_0016,pro,4281.76,monthly,2026-02-23,2026-09-21,active
SUB_0017,CUST_0017,starter,988.37,monthly,2025-03-30,2026-09-21,active
SUB_0018,CUST_0018,pro,472.83,monthly,2026-01-03,2026-08-31,active
SUB_0019,CUST_0019,starter,2269.23,monthly,2025-04-18,2026-09-10,active
SUB_0020,CUST_0020,pro,641.27,monthly,2023-12-20,2026-09-05,active
SUB_0021,CUST_0021,pro,7397.62,monthly,2026-03-23,2026-09-19,active
SUB_0022,CUST_0022,growth,929.98,monthly,2024-09-01,2026-09-21,active
SUB_0023,CUST_0023,pro,1192.85,monthly,2024-04-16,2026-09-03,active
SUB_0024,CUST_0024,growth,1472.48,monthly,2026-06-16,2026-09-14,active
SUB_0025,CUST_0025,pro,2062.52,monthly,2025-07-24,2026-09-17,active
SUB_0026,CUST_0026,pro,15000,monthly,2024-09-06,2026-09-26,active
SUB_0027,CUST_0027,starter,1361.13,monthly,2026-03-03,2026-09-29,active
SUB_0028,CUST_0028,growth,1163.57,monthly,2026-01-13,2026-09-10,active
SUB_0029,CUST_0029,growth,1707.17,monthly,2024-05-25,2026-09-12,active
SUB_0030,CUST_0030,growth,1347.23,monthly,2025-05-07,2026-09-29,active
SUB_0031,CUST_0031,growth,1539.65,monthly,2024-03-06,2026-09-22,active
SUB_0032,CUST_0032,growth,10611.56,monthly,2025-08-30,2026-09-24,active
SUB_0033,CUST_0033,pro,1856.81,monthly,2024-05-23,2026-09-10,active
SUB_0034,CUST_0034,pro,3230.65,monthly,2024-08-17,2026-09-06,active
SUB_0035,CUST_0035,pro,6640.78,monthly,2025-05-11,2026-09-03,active
SUB_0036,CUST_0036,growth,1214.61,monthly,2025-10-18,2026-09-13,active
SUB_0037,CUST_0037,pro,9606.42,monthly,2024-05-11,2026-09-28,active
SUB_0038,CUST_0038,starter,1015.59,monthly,2025-09-25,2026-09-20,active
SUB_0039,CUST_0039,pro,13129.92,monthly,2025-05-06,2026-09-28,active
SUB_0040,CUST_0040,starter,721.19,monthly,2025-12-12,2026-09-08,active
SUB_0041,CUST_0041,growth,1850.51,monthly,2023-12-04,2026-09-19,active
SUB_0042,CUST_0042,growth,7945.8,monthly,2023-12-09,2026-09-24,active
SUB_0043,CUST_0043,starter,432.96,monthly,2026-06-24,2026-09-22,active
SUB_0044,CUST_0044,starter,781.5,monthly,2024-05-31,2026-09-18,active
SUB_0045,CUST_0045,growth,382.43,monthly,2025-03-08,2026-09-29,active
SUB_0046,CUST_0046,pro,405.71,monthly,2024-07-18,2026-09-06,active
SUB_0047,CUST_0047,growth,1330.55,monthly,2025-03-04,2026-09-25,active
SUB_0048,CUST_0048,pro,14057.81,monthly,2025-09-10,2026-09-05,active
SUB_0049,CUST_0049,pro,4478.57,monthly,2025-05-03,2026-09-25,active
SUB_0050,CUST_0050,pro,1733.33,monthly,2025-12-06,2026-09-02,active
SUB_0051,CUST_0051,starter,706.77,monthly,2024-12-07,2026-09-28,active
SUB_0052,CUST_0052,starter,789.75,monthly,2024-11-17,2026-09-08,active
SUB_0053,CUST_0053,starter,619.66,monthly,2025-03-05,2026-09-26,active
SUB_0054,CUST_0054,growth,4617.73,monthly,2026-07-17,2026-09-15,active
SUB_0055,CUST_0055,pro,14168.18,monthly,2025-07-19,2026-09-12,active
SUB_0056,CUST_0056,growth,5536.93,monthly,2024-01-12,2026-09-28,active
SUB_0057,CUST_0057,growth,381.29,monthly,2026-03-28,2026-09-24,active
SUB_0058,CUST_0058,pro,1656.39,monthly,2024-05-17,2026-09-04,active
SUB_0059,CUST_0059,starter,1862.26,monthly,2025-03-31,2026-09-22,active
SUB_0060,CUST_0060,starter,708.78,monthly,2024-01-23,2026-09-09,active
SUB_0061,CUST_0061,pro,10336.72,monthly,2026-04-24,2026-09-21,active
SUB_0062,CUST_0062,starter,438.99,monthly,2025-08-28,2026-09-22,active
SUB_0063,CUST_0063,growth,961.34,monthly,2024-03-16,2026-09-02,active
SUB_0064,CUST_0064,starter,656.63,monthly,2025-07-18,2026-09-11,active
SUB_0065,CUST_0065,growth,742.96,monthly,2026-04-06,2026-09-03,active
SUB_0066,CUST_0066,pro,517.04,monthly,2026-06-15,2026-09-13,active
SUB_0067,CUST_0067,pro,2130.3,monthly,2026-01-03,2026-08-31,active
