Candidate Policy,Expected Gross (₹),Cost (₹),Ground-Truth Expected NET (₹),Model-Estimated NET (₹),Recovery Rate (%),Oracle Gap (₹),Oracle Gap (%),Oracle Match (%),Rules Disagree Count,Diff vs V2 Control (₹),Diff vs Rules (₹),Diff vs Oracle (₹)
V2 Control (ExtraTrees),843404.27474881,1354.0,842050.27474881,823787.5912626504,77.33653823977264,13279.290900290012,1.552535003301623,53.84615384615385,117,-1.8998980522155762e-07,-821.6252511900384,-13279.295251189964
Experiment 1: Interaction Model,806615.7836898799,887.0,805728.7836898799,1011480.3130205628,73.96319211058704,49600.78195922007,5.799025773367087,21.10912343470483,445,-36321.491059120046,-37143.116310120095,-49600.78631012002
Hybrid V2 (Threshold ₹0),843404.27474881,1354.0,842050.27474881,823787.5912626504,77.33653823977264,13279.290900290012,1.552535003301623,53.84615384615385,117,-1.8998980522155762e-07,-821.6252511900384,-13279.295251189964
Hybrid V2 (Threshold ₹10),843233.07685812,1347.0,841886.07685812,823787.5912626504,77.32084013079181,13443.488790979958,1.571732035332819,53.48837209302325,104,-164.19789087993558,-985.8231418799842,-13443.49314187991
Hybrid V2 (Threshold ₹20),843411.93790776,1337.0,842074.93790776,823787.5912626504,77.33724091843212,13254.627741339966,1.5496515347603093,54.38282647584973,87,24.66315876005683,-796.9620922399918,-13254.632092239917
Hybrid V2 (Threshold ₹35),844202.90836407,1336.0,842866.90836407,823787.5912626504,77.40976950142888,12462.65728503,1.4570591016074874,55.81395348837209,73,816.6336150700226,-4.99163593002595,-12462.661635929951
Hybrid V2 (Threshold ₹50),844209.58840226,1330.0,842879.58840226,823787.5912626504,77.41038203215037,12449.977246840019,1.4555766276349715,56.17173524150269,64,829.3136532600038,7.688402259955183,-12449.98159773997
Hybrid V2 (Threshold ₹75),844411.17763064,1322.0,843089.17763064,823787.5912626504,77.4288668958582,12240.388018460013,1.4310727127935674,56.88729874776386,50,1038.9028816400096,217.277630639961,-12240.392369359965
Hybrid V2 (Threshold ₹100),844405.0401193199,1317.0,843088.0401193199,823787.5912626504,77.42830411251325,12241.525529780076,1.4312057037909265,56.529516994633276,45,1037.7653703199467,216.14011931989808,-12241.529880680027
Combined Interaction + Hybrid (₹35),836898.0653886099,1262.0,835636.0653886099,1011480.3130205628,76.73994687303937,19693.50026049011,2.3024458701535626,45.97495527728086,127,-6414.209360390087,-7235.834611390135,-19693.50461139006
