candidate_name,mean_realized_net,median_realized_net,std_realized_net,min_realized_net,max_realized_net,gt_expected_net
V2 Control (ExtraTrees),835076.2300000002,829594.2100000002,19232.55602037748,814028.0399999999,869444.16,842050.27474881
Experiment 1: Interaction Model,787530.4600000001,781389.9199999999,31581.54074571782,740690.2100000002,829838.8099999999,805728.7836898799
Hybrid V2 (Threshold ₹0),835076.2300000002,829594.2100000002,19232.55602037748,814028.0399999999,869444.16,842050.27474881
Hybrid V2 (Threshold ₹10),835316.7940000001,830364.4000000003,19335.844560977985,814035.0399999999,869855.79,841886.07685812
Hybrid V2 (Threshold ₹20),835203.1940000001,830374.4000000003,19336.460130273612,813662.71,869630.12,842074.93790776
Hybrid V2 (Threshold ₹35),836317.8940000001,831042.1100000002,19609.091210583443,814404.84,871618.96,842866.90836407
Hybrid V2 (Threshold ₹50),836207.7940000001,831048.1100000002,19683.07473962797,814410.84,871624.96,842879.58840226
Hybrid V2 (Threshold ₹75),837050.0840000001,831984.6400000001,20292.588525869785,814418.84,873254.42,843089.17763064
Hybrid V2 (Threshold ₹100),836421.8320000002,830785.3200000002,20800.208734013577,812461.8999999999,873259.42,843088.0401193199
Combined Interaction + Hybrid (₹35),830213.3000000003,825287.9500000002,21688.486197550024,808450.0599999999,871453.81,835636.0653886099
