failure_id,amount,failure_reason,behavior_profile,account_age_days,historical_recovery_rate,payment_success_rate,engagement_score,ml_action,ml_est_prob,ml_true_prob,ml_cost,ml_net,ml_margin,rules_action,rules_net,oracle_action,oracle_net,oracle_regret,rules_regret,ml_equals_oracle,ml_equals_rules
FAIL_000414,2492.3,INSUFFICIENT_FUNDS,friction_prone,589,0.35,0.6316,0.45,WAIT_AND_RETRY,0.7716332634123798,0.337361,2.0,838.8048203000001,666.1729895703415,WAIT_AND_RETRY,838.8048203000001,PAYMENT_LINK,1284.7464870000001,445.94166670000004,0.0,False,True
FAIL_001062,2619.41,INSUFFICIENT_FUNDS,normal,993,0.6,0.7273,0.6,WAIT_AND_RETRY,0.7617346027528056,0.67331,2.0,1761.6749470999998,502.6636310893673,WAIT_AND_RETRY,1761.6749470999998,PAYMENT_LINK,2058.63807342,296.96312632000036,0.0,False,True
FAIL_002473,2414.17,NETWORK_ERROR,normal,30,0.6,0.0,0.6,RETRY_NOW,0.9057775449188916,0.268774,2.0,646.86612758,57.20438270010891,RETRY_NOW,646.86612758,PAYMENT_LINK,941.61885177,294.75272419,0.0,False,True
FAIL_000048,7397.62,BANK_DECLINED,high_value_loyal,160,0.82,0.6,0.9,UPDATE_PAYMENT_METHOD,0.5854985057169223,0.87524,3.0,6471.6929288,189.56158614223568,WAIT_AND_RETRY,6679.80409594,PAYMENT_LINK,6766.13300004,294.4400712400002,208.11116713999945,False,False
FAIL_001139,1961.94,BANK_DECLINED,friction_prone,960,0.35,0.7812,0.45,PAYMENT_LINK,0.6996849035529452,0.425371,3.0,831.55237974,89.53182417826747,WAIT_AND_RETRY,1122.8645654200002,WAIT_AND_RETRY,1122.8645654200002,291.3121856800002,291.3121856800002,False,False
FAIL_001186,1737.7,INSUFFICIENT_FUNDS,friction_prone,985,0.35,0.5625,0.45,WAIT_AND_RETRY,0.6953076543279523,0.288851,2.0,499.9363827000001,37.96606528982397,WAIT_AND_RETRY,499.9363827000001,SEND_REMINDER,759.5356836,259.5993008999999,0.0,False,True
FAIL_001144,3086.94,BANK_DECLINED,normal,576,0.6,0.6316,0.6,PAYMENT_LINK,0.7446567302367028,0.596354,3.0,1837.9090167600002,485.62094487472905,WAIT_AND_RETRY,2078.2271272000003,WAIT_AND_RETRY,2078.2271272000003,240.31811044000005,240.31811044000005,False,False
FAIL_000526,1170.85,NETWORK_ERROR,friction_prone,999,0.35,0.7576,0.45,RETRY_NOW,0.7636547035777856,0.515557,2.0,601.63991345,565.2260405714553,RETRY_NOW,601.63991345,WAIT_AND_RETRY,804.9427948999999,203.30288144999986,0.0,False,True
FAIL_002398,1893.79,INSUFFICIENT_FUNDS,friction_prone,132,0.35,0.5,0.45,PAYMENT_LINK,0.6587267653023018,0.21748,3.0,408.8614492,134.58351151299848,WAIT_AND_RETRY,608.96506085,WAIT_AND_RETRY,608.96506085,200.10361165,200.10361165,False,False
FAIL_001638,1633.25,BANK_DECLINED,friction_prone,658,0.35,0.8095,0.45,WAIT_AND_RETRY,0.5989688348950043,0.437501,2.0,712.5485082499999,17.298663621064634,WAIT_AND_RETRY,712.5485082499999,PAYMENT_LINK,911.02059725,198.4720890000001,0.0,False,True
FAIL_001578,2210.87,BANK_DECLINED,friction_prone,702,0.35,0.6957,0.45,WAIT_AND_RETRY,0.701131495669821,0.337958,2.0,745.1812034599999,300.6783686793192,WAIT_AND_RETRY,745.1812034599999,PAYMENT_LINK,943.5906231099999,198.40941965000002,0.0,False,True
FAIL_001945,1784.87,BANK_DECLINED,friction_prone,893,0.35,0.7931,0.45,PAYMENT_LINK,0.6396081324338634,0.550007,3.0,978.69099409,26.83389551912319,WAIT_AND_RETRY,1167.27369161,WAIT_AND_RETRY,1167.27369161,188.58269752,188.58269752,False,False
